OT_TCON_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_TCON_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_TCON_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_TCON_A/czyObiektBDOO/__text,OT_TCON_A/x_kod/__text,OT_TCON_A/x_skrKarto/_xsi:nil,OT_TCON_A/x_skrKarto/_nilReason,OT_TCON_A/x_katDoklGeom/__text,OT_TCON_A/x_doklGeom/_uom,OT_TCON_A/x_doklGeom/__text,OT_TCON_A/x_zrodloDanychG/__text,OT_TCON_A/x_zrodloDanychA/__text,OT_TCON_A/x_katIstnienia/_xsi:nil,OT_TCON_A/x_katIstnienia/_nilReason,OT_TCON_A/x_rodzajReprGeom/__text,OT_TCON_A/x_uzytkownik/_xlink:href,OT_TCON_A/x_aktualnoscG/__text,OT_TCON_A/x_aktualnoscA/__text,OT_TCON_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_TCON_A/x_dataUtworzenia/__text,OT_TCON_A/x_kodKarto10k/_xsi:nil,OT_TCON_A/x_kodKarto10k/_nilReason,OT_TCON_A/x_kodKarto25k/_xsi:nil,OT_TCON_A/x_kodKarto25k/_nilReason,OT_TCON_A/x_kodKarto50k/_xsi:nil,OT_TCON_A/x_kodKarto50k/_nilReason,OT_TCON_A/x_kodKarto100k/_xsi:nil,OT_TCON_A/x_kodKarto100k/_nilReason,OT_TCON_A/x_kodKarto250k/_xsi:nil,OT_TCON_A/x_kodKarto250k/_nilReason,OT_TCON_A/x_kodKarto500k/_xsi:nil,OT_TCON_A/x_kodKarto500k/_nilReason,OT_TCON_A/x_kodKarto1000k/_xsi:nil,OT_TCON_A/x_kodKarto1000k/_nilReason,OT_TCON_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_TCON_A/geometria/Polygon/_gml:id,OT_TCON_A/geometria/Polygon/_srsName,OT_TCON_A/geometria/Polygon/_srsDimension,OT_TCON_A/idNatura/__text,OT_TCON_A/nazwa/__text,OT_TCON_A/_gml:id
2D124634-2181-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,TCON01,true,inapplicable,Dok,m,1,KSOCH,KSOCH,true,inapplicable,KR,Uzytkownik04.xml,2016-12-07,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,480134.41 564028.55 480191.45 563835.35 480305.54 563621 480383.26 563432.52 480443.84 563285.63 480518.75 563131.4 480561.39 563043.61 480684.46 562808.86 480656.04 562784.46 480651.18 562782.72 480669.18 562747.75 480699.48 562693.33 480656.83 562659.09 480613.03 562630.96 480546.55 562608.38 480548.18 562601.92 480549.12 562598.22 480537.59 562577.65 480533.05 562569.59 480494.55 562500.84 480266.55 562877.43 480172.64 563448.29 480194.85 563451.95 480149.64 563797.11 480134.41 564028.55,g_7,EPSG:2180,2,PLH040011,NIESZAWSKA DOLINA WISLY,PL.PZGIK.BDOT10k.TCONA.04.153
2D124634-2182-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,TCON01,true,inapplicable,Dok,m,1,KSOCH,KSOCH,true,inapplicable,KR,Uzytkownik04.xml,2016-12-07,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,493414.73 553875.19 493414.48 553875.83 493489.95 553901.76 493852.66 554026.41 493925.12 554058.59 493925.23 554058.85 493932.08 554049.43 493947.52 554027.85 493978.44 553984.64 494066.96 553839 494130.82 553721.58 494179.09 553629.07 494206.89 553571.18 494254.26 553449.09 494283.38 553366.02 494210.01 553332.96 494305.44 553150.17 494314.9 553093.23 494293 552995 494302.26 552981.73 494306.22 552948.63 494307.03 552941.89 494342.56 552877.06 494365.43 552835.33 494396.91 552758.52 494409.14 552738.39 494456.77 552675.08 494464.6 552662.06 494472.16 552639.16 494491.55 552549.14 494493.56 552543.28 494506.54 552481.94 494509.13 552469.68 494509.84 552466.35 494510.13 552463.49 494511.7 552447.06 494510.38 552411.42 494508.02 552411.01 494507.79 552373.29 494507.19 552272.75 494511.55 552257.54 494512.97 552253.4 494397.14 552244.5 494392.64 552243.96 494305.39 552240.58 494180.16 552248.04 494050.49 552239.88 494020.74 552237.27 494017.01 552237.53 494003.29 552237.92 493971.93 552240.24 493754.69 552253.71 493738.42 552353.87 493629.78 553336.4 493543.75 553553.45 493414.73 553875.19,g_42,EPSG:2180,2,PLH040039,WLOCLAWSKA DOLINA WISLY,PL.PZGIK.BDOT10k.TCONA.04.154
2D124634-2183-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,TCON01,true,inapplicable,Dok,m,1,KSOCH,KSOCH,true,inapplicable,KR,Uzytkownik04.xml,2016-12-07,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,442767.2 582366.28 442850.44 582418.09 442876.99 582444.25 442976 582384.36 443026.84 582440.4 443104.36 582525.12 443173.52 582598.32 443151.55 582653.55 443127.33 582690.96 443424.41 582867.73 443459.57 582909.02 443433.42 582947.6 443418.08 583030.28 443353.49 583129.36 443536.45 583123.33 443545.2 583123.05 443579.33 583133.69 443581.34 583134.33 443582.97 583123.79 443585.43 583093.45 443599.37 582960.85 443704.38 583019.78 443734.49 582875.23 443722.39 582834.26 443703 582784.67 443685.18 582739.07 443667.35 582693.43 443636.91 582631.69 443636.01 582628.34 443634.11 582621.29 443629.23 582603.19 443642.83 582420.08 443642.95 582418.39 443643.22 582414.8 443645.52 582383.94 443649 582325.48 443653.54 582249.34 443654.48 582077.04 443652.16 582075.96 443636.56 582052.84 443628.2 582040.45 443607.54 582032.42 443584.57 582023.5 443583.71 582023.16 443548.54 582009.5 443479.48 581982.68 443524.79 581940.9 443573.73 581898.45 443597.73 581874.77 443661.4 581928.13 443679.34 581943.16 443746.04 581888.72 443850.84 581815.94 443930.81 581795.64 444068.73 581761.39 444168.64 581748.75 444169.89 581748.66 444171.19 581748.58 444172.04 581748.52 444256.84 581742.95 444299.06 581740.18 444398.87 581724.25 444506.26 581699.9 444602.76 581653.66 444583.51 581611.46 444640.87 581589.1 444649.36 581585.79 444662.76 581581.79 444733.18 581560.78 444740.98 581558.48 444749.59 581555.88 444749.68 581555.85 444751.22 581555.38 444771.57 581549.16 444772.99 581548.73 444788.11 581544.1 444796.86 581541.42 444813.55 581533.9 444880.04 581503.94 444917.38 581487.11 444941.87 581478.18 445012.56 581452.41 445144.1 581424.92 445227.24 581400.41 445373.06 581384.02 445451.3 581390.06 445496.71 581392.01 445567.3 581395.05 445654.92 581413.15 445692.12 581421.16 445744.13 581444.36 445760.57 581444.72 445761.4 581444.66 445781.39 581443.07 445792.55 581442.19 445799.61 581442.83 445875.76 581449.73 445922.91 581490.33 446022.03 581516.45 446136.12 581516.45 446222.56 581499.17 446308.99 581533.74 446426.54 581540.66 446692.76 581519.91 446920.95 581495.71 447107.65 581509.54 447280.52 581537.2 447517.64 581534.04 447539.82 581533.74 447674.66 581533.74 447756.32 581520.57 447781.84 581516.45 447920.14 581468.05 448023.86 581454.22 448141.41 581454.22 448255.5 581450.76 448373.05 581426.56 448587.41 581412.73 448704.96 581409.27 448940.07 581388.53 449199.37 581350.5 449562.4 581284.81 449845.9 581264.06 449994.57 581274.44 450105.21 581267.52 450202.02 581243.32 450323.02 581239.86 450464.78 581201.83 450654.93 581143.05 450807.06 581105.02 450917.7 581101.57 451121.68 581063.53 451256.52 581032.42 451339.5 581046.25 451443.22 581042.79 451505.45 581105.02 451553.86 581108.48 451605.72 581084.28 451626.46 581028.96 451695.61 580959.81 451785.5 580914.87 451871.94 580856.09 451965.29 580807.69 452127.78 580780.03 452279.91 580755.83 452456.24 580728.17 452618.73 580683.22 452746.66 580665.93 452843.46 580714.34 452967.93 580700.51 453030.16 580655.56 453102.77 580544.93 453268.72 580406.63 453358.62 580358.23 453441.59 580292.54 453500.37 580216.47 453593.72 580195.73 453700.9 580161.16 453780.42 580119.67 453863.4 580102.38 453994.78 580029.77 454074.3 579960.63 454164.19 579898.39 454257.54 579843.08 454406.21 579725.52 454503.01 579642.55 454572.16 579545.74 454606.73 579448.93 454696.63 579321.01 454817.64 579186.17 454866.04 579134.31 454969.76 579061.7 455035.45 578992.56 455063.11 578919.95 455153 578812.77 455181.22 578780.91 455260.18 578691.76 455388.11 578574.21 455457.25 578560.38 455540.23 578532.72 455599.01 578463.58 455623.21 578408.26 455675.07 578370.23 455740.76 578377.14 455785.71 578359.85 455844.48 578311.45 455899.8 578214.64 455927.46 578093.63 455975.86 578003.74 456038.1 577955.34 456204.05 577931.14 456287.03 577913.85 456428.78 577886.19 456695 577785.93 456784.89 577727.15 456847.13 577709.86 456930.1 577709.86 457020 577723.69 457092.6 577734.07 457210.15 577713.32 457289.67 577658 457441.8 577595.77 457597.38 577516.25 457669.99 577457.47 457690.73 577405.61 457808.28 577336.46 458071.04 577250.03 458337.26 577146.31 458461.73 577142.85 458527.42 577160.14 458582.74 577142.85 458610.4 577070.25 458638.06 577004.56 458807.47 576918.12 458925.02 576859.34 459039.11 576765.99 459146.29 576679.56 459225.81 576627.7 459312.25 576551.64 459360.65 576541.26 459426.34 576527.43 459457.46 576492.86 459495.49 576434.09 459592.3 576354.57 459702.93 576292.33 459775.54 576271.59 459858.52 576223.18 460024.47 576209.35 460190.42 576143.66 460311.43 576050.31 460411.7 575967.34 460477.39 575887.82 460601.85 575808.3 460715.95 575704.58 460854.24 575524.79 460992.54 575317.35 461103.18 575123.73 461179.24 575020.01 461327.91 574850.6 461462.75 574726.13 461580.3 574591.29 461694.39 574515.23 461905.29 574418.42 462105.82 574342.36 462152.94 574326.66 462251.03 574293.96 462368.58 574214.44 462496.51 574131.46 462627.95 574049.58 462707.41 574000.08 462918.9 573778.35 463098.09 573640.51 463288.25 573478.01 463488.78 573239.45 463658.19 573045.84 463749.81 572962.86 463902.02 572826.13 464055.79 572689.73 464070.26 572680.77 464084.72 572671.82 464201 572599.84 464366.96 572530.69 464532.91 572482.28 464681.58 572475.37 464809.5 572506.49 464913.22 572485.74 464953.55 572470.24 464745.93 572453.25 464692.02 572448.82 464582.53 572439.74 464447.5 572428.53 464428.69 572426.98 464417.16 572430.6 464406.04 572434.14 464392.98 572438.23 464374.11 572444.22 464370.31 572445.42 464350.81 572451.61 464334.33 572456.83 464320.08 572461.36 464289.17 572471.19 464245.28 572485.15 464218.02 572500.64 464185.33 572519.67 464137.83 572553.65 464120.44 572566.09 464113.18 572571 464090.37 572586.47 464065.07 572557.87 464034.5 572585.01 464010.35 572559.4 463986.43 572534.03 463983.4 572530.82 463982.02 572529.7 463968.2 572515.21 463964.83 572511.68 463829.14 572369.41 463936.91 572313.51 464341.92 572113.12 464568.98 572009.71 464587.96 572002.94 464705.53 571961.22 464883.42 571898.06 465026.67 571856.82 465569.03 571714.76 465905.77 571621.02 466036.46 571584.93 466176.98 571553.94 466339.53 571529.24 466584.82 571513.8 466771.48 571508.89 466964.66 571525.52 467045.77 571535.1 467257.35 571571 467448.41 571616.22 467682.52 571676.18 467830.8 571713.65 468026.84 571742.41 468178.28 571748.76 468327.62 571735.84 468546.43 571716.92 468756.01 571669.58 468833.7 571652.05 469033.54 571581.32 469224.56 571508.66 469720.53 571296.77 469831.5 571240.32 469954.86 571180.93 470371.8 570980.25 470640.8 570866.31 470670 570856.46 470666.11 570848.91 470571.62 570665.05 470570.75 570663.36 470568.78 570659.49 470562.95 570648.1 470535.12 570593.92 470532.53 570588.9 470528.12 570580.3 470476.17 570591.09 470306.76 570642.95 470158.09 570732.84 469981.76 570812.36 469646.4 570967.95 469456.24 571047.47 469145.07 571151.19 468823.54 571220.34 468647.21 571237.62 468387.9 571261.82 468228.86 571254.91 468062.91 571227.25 467879.67 571175.39 467672.22 571113.16 467509.73 571075.13 467181.27 571026.72 467036.06 571012.89 466873.57 571012.89 466621.18 570995.61 466462.14 570985.23 466230.49 571012.89 466123.31 571050.92 465940.07 571126.99 465781.03 571158.1 465608.16 571175.39 465480.24 571203.05 465272.79 571241.08 465073.9 571280.18 464868.28 571320.6 464681.58 571355.17 464512.17 571393.21 464297.81 571441.61 464245.74 571453.39 464129.6 571479.67 463875.9 571572.64 463722.77 571614.22 463684.42 571636.64 463665 571648.93 463639.5 571672.4 463623.19 571685.51 463602.68 571692.85 463577.51 571709.03 463549.64 571724.76 463528.3 571734.79 463557.7 571688.23 463600.05 571622.41 463467.34 571672.68 463447.44 571684.86 463399.83 571714.02 463387.06 571719.37 463374.3 571724.72 463271.25 571767.89 463263.57 571771.11 463219.6 571798.71 463219.17 571798.98 463209.15 571804.99 463197.86 571811.76 463164.66 571831.67 463118.67 571859.57 463065.97 571892.45 462978.01 571949.4 462961.29 571960.23 462852.71 572029.25 462695.94 572102.47 462636.22 572136.49 462557.77 572183.17 462518.82 572216.03 462492.98 572187.89 462454.85 572217.27 462445.91 572224.16 462411.53 572256.97 462338.78 572318.7 462299.29 572353.09 462284.62 572365.86 462245.02 572402.46 462221.27 572415.01 462177.38 572447.51 462142.29 572473.26 462118.04 572494.83 462116.2 572495.88 462109.63 572499.65 462090.28 572510.73 462075.99 572522.53 462055.52 572539.44 462020.84 572552.92 462009.74 572568.44 461952.81 572610.29 461905.47 572653.21 461925.84 572679.23 461781.08 572824.25 461747.61 572867.37 461750.7 572874.79 461699.46 572921.76 461666.18 572952.27 461638.98 572979.4 461603.88 573014.42 461571.45 573046.78 461538.6 573091.62 461533.04 573120.09 461478.45 573172.46 461481.05 573182.79 461450.35 573159.37 461427.43 573197.57 461409.2 573240.36 461393.72 573291.12 461352.41 573377.64 461317.91 573438.59 461311.55 573487.41 461302.27 573524.34 461294.63 573554.76 461279.65 573587.01 461278.43 573589.64 461309.87 573603.61 461303.86 573615.91 461274.82 573651.97 461258.13 573697.01 461220.71 573755.27 461205.69 573778.66 461117.27 573887.04 461057.07 573953.53 461021.76 573991.59 461013.79 574000.17 460986.63 574031.83 460934.52 574084.26 460897.72 574115.3 460823.1 574173.49 460767.06 574230.27 460710.91 574269.3 460709.5 574270.51 460674.45 574300.44 460659.5 574320.21 460645.15 574339.18 460552.81 574412.41 460525.23 574434.29 460497.78 574458.13 460451.62 574495.94 460402.49 574530.72 460386.53 574540.21 460359.51 574563.35 460335.17 574583.03 460299.46 574612.49 460267.59 574635.66 460253.31 574643.56 460212.41 574666.21 460172.63 574691.62 460107.51 574729.41 460079.53 574765.56 460279.6 575065.01 459642.44 575452.24 459013.54 575866.77 458655.95 576091.55 458292.02 576300.5 458032.91 576435.68 457744.68 576579.23 457433.63 576736.7 457108.22 576892.62 456628.41 577143.48 456327.16 577321.95 456290.53 577347.2 456075.6 577481.84 455937.54 577587.09 455889.86 577622.23 455596.05 577802.6 454593.27 578456.72 454701.61 578650.77 454631.5 578696.17 454616.05 578699.35 454605.04 578708.83 454541.88 578737.48 454537.4 578752.58 454496.15 578763.06 454466.2 578781.92 454456.9 578798.38 454447.64 578804.75 454379.45 578839.96 454362.86 578851.89 454358.51 578859.67 454300.33 578892.77 454283.55 578910.23 454214.03 578951.9 454207.23 578959.43 454180.32 578977.59 454172.89 578984.21 454130.77 579003.72 454128.81 579008.97 454130.27 579018.12 454119.65 579019.3 454111.44 579031.15 454099.71 579036.68 454066.71 579061.9 454065.67 579068.35 454061.47 579070.91 454051.03 579067.84 454045.33 579071.06 454046.55 579081.71 453990.9 579118.41 453971.67 579143.52 453894.52 579184.78 453858.64 579209.32 453845.58 579221.6 453799.84 579247.15 453795.52 579244.84 453787.14 579250.25 453786.5 579260.36 453763.38 579272.31 453754.55 579272.56 453751.12 579280.61 453712.18 579304.92 453702.5 579307.32 453696.08 579306.27 453694.71 579311.81 453661.86 579328.74 453645.61 579347.24 453622.21 579360.42 453603.11 579363.69 453602.69 579370.12 453570.49 579395.47 453542.89 579406.23 453542.17 579413.6 453502.32 579437.01 453500 579452.36 453479 579463.94 453471.97 579462.91 453463.85 579466.8 453462.73 579470.82 453461.55 579472.36 453456.69 579471.89 453371.38 579526.83 453350.08 579549.74 453335.15 579560.84 453230.93 579627.24 453175.17 579664.85 453115.15 579701.68 453058.15 579727.52 453027.67 579739.59 453010.63 579767.95 453002.02 579773.34 452975.75 579774.06 452960.98 579786.3 452873.21 579824.52 452852.15 579849.65 452879.15 579739.67 453149.2 579586.91 453075.74 579457.63 452977.07 579520.46 452806 579624.21 452623.04 579714.8 452448.59 579805.14 452265.21 579880.24 452081.41 579958.35 451895.23 580040.52 451700.53 580103.93 451519.07 580175.98 451328.33 580220.39 451128.71 580268.84 450942.01 580314.34 450480.95 580417.36 450316.66 580414.75 450161.36 580412.27 450146.8 580229.83 450146.01 580219.93 450145.42 580212.65 450113.16 580201.53 450099.89 580199.52 450089.07 580197.96 450003.76 580174.71 449923.63 580141.48 449811.27 580093.75 449766.51 580086.11 449615.04 580060.25 449507.08 580052.3 449451.47 580054.29 449426.66 580059.11 449382.97 580067.6 449380.24 580067.95 449377.51 580068.29 449357.15 580070.85 449287.68 580087.37 449224.84 580105.26 449169.45 580097.39 449055.61 580123.9 448983.96 580153.61 448914.77 580182.3 448757.85 580253.42 448654.4 580269.99 448629.41 580277.68 448488.48 580324.08 448483.33 580314.26 448470.31 580311.29 448459.87 580311.49 448397.78 580338.03 448344.77 580360.48 448341.38 580361.93 448335.93 580353.62 448330.17 580355.62 448305.21 580364.53 448265.58 580379.1 448256.77 580380.87 448248.03 580382.92 448209.12 580397.59 448200.12 580402.09 448124.43 580421.85 448102.3 580428.2 448083.95 580436.23 448059.16 580453.21 448049.55 580455.99 448046.19 580454.5 448043.12 580447.43 448031.6 580441.56 448004.03 580452.63 447992.76 580462.84 447984.4 580463.09 447954.03 580476.16 447928.01 580486.17 447904.74 580489.47 447875.55 580493.65 447693.77 580506.85 447722.17 580563.32 447856.97 580829.46 447755.07 580881.64 447615.27 580952.62 447434.89 580981.14 447240.03 580995.47 447033.69 581054.3 446865.24 581083.8 446630 581088.35 446491.92 581095.7 446501.85 581146.81 446515.08 581234.23 446280.1 581267.57 446249.37 581271.93 446242.19 581208.03 446225.12 581050.69 445853.75 581064.02 445645.91 581071.42 445512.49 581081.44 445445.99 581091.97 445273.67 581117.8 445197.15 581125.51 444887.06 581176.91 444783.8 581202.76 444673.16 581223.17 444549.07 581256.43 444410.89 581295.05 444242.47 581360.33 444053.45 581440.1 443484.47 581763.34 443373.81 581826.2 442767.2 582366.28,g_77,EPSG:2180,2,PLB040003,DOLINA DOLNEJ WISLY,PL.PZGIK.BDOT10k.TCONA.04.155
