OT_PTSO_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTSO_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTSO_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTSO_A/czyObiektBDOO/__text,OT_PTSO_A/x_kod/__text,OT_PTSO_A/x_skrKarto/_xsi:nil,OT_PTSO_A/x_skrKarto/_nilReason,OT_PTSO_A/x_katDoklGeom/__text,OT_PTSO_A/x_doklGeom/_uom,OT_PTSO_A/x_doklGeom/__text,OT_PTSO_A/x_zrodloDanychG/__text,OT_PTSO_A/x_zrodloDanychA/__text,OT_PTSO_A/x_katIstnienia/_xsi:nil,OT_PTSO_A/x_katIstnienia/_nilReason,OT_PTSO_A/x_rodzajReprGeom/__text,OT_PTSO_A/x_uzytkownik/_xlink:href,OT_PTSO_A/x_aktualnoscG/__text,OT_PTSO_A/x_aktualnoscA/__text,OT_PTSO_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTSO_A/x_dataUtworzenia/__text,OT_PTSO_A/x_kodKarto10k/__text,OT_PTSO_A/x_kodKarto25k/__text,OT_PTSO_A/x_kodKarto50k/__text,OT_PTSO_A/x_kodKarto100k/__text,OT_PTSO_A/x_kodKarto250k/_xsi:nil,OT_PTSO_A/x_kodKarto250k/_nilReason,OT_PTSO_A/x_kodKarto500k/_xsi:nil,OT_PTSO_A/x_kodKarto500k/_nilReason,OT_PTSO_A/x_kodKarto1000k/_xsi:nil,OT_PTSO_A/x_kodKarto1000k/_nilReason,OT_PTSO_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTSO_A/geometria/Polygon/interior/LinearRing/posList/__text,OT_PTSO_A/geometria/Polygon/_gml:id,OT_PTSO_A/geometria/Polygon/_srsName,OT_PTSO_A/geometria/Polygon/_srsDimension,OT_PTSO_A/rodzaj/__text,OT_PTSO_A/_gml:id,OT_PTSO_A/x_informDodatkowa/__text
2D124632-C2A2-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTSO01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,459311.85 585541.93 459353.28 585530.98 459358.95 585539.88 459371.9 585538.66 459377.97 585543.92 459440.29 585525.71 459392.13 585418.48 459230.95 585460.38 459249.28 585535.88 459255.47 585556.85 459311.85 585541.93,459251.73 585491.1 459245.01 585472.85 459259.41 585469.49 459264.21 585489.66 459251.73 585491.1,g_7,EPSG:2180,2,Odk,PL.PZGIK.BDOT10k.PTSOA.04.151,
2D124632-C2A3-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTSO01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_430,0025_430,0050_430_small,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,461825.31 586572.03 461825.7 586566.6 461798.14 586539.43 461760.5 586502.95 461746.59 586488.54 461730.88 586515.34 461700.65 586566.9 461737.6 586570.09 461822.21 586574.36 461825.31 586572.03,,g_44,EPSG:2180,2,Odk,PL.PZGIK.BDOT10k.PTSOA.04.152,
2D124632-C2A4-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTSO01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,497128.44 567163.57 497142.33 567154.1 497150.3 567139.82 497139.22 567047.05 497029.22 567024.46 497025.76 567042.52 497013.84 567042.75 496995.48 567038.7 496982.49 567035.45 496978.32 567114.07 497067.23 567127.91 497077.48 567162.25 497118.96 567166.54 497128.44 567163.57,497050.31 567110.49 497038.63 567108.82 497025.28 567104.77 497008.12 567104.53 496997.63 567103.1 496988.57 567097.61 496984.04 567085.45 496985.23 567068.27 496987.86 567059.45 496991.91 567051.1 497004.54 567046.81 497025.76 567042.52 497042.2 567043.47 497056.98 567049.19 497064.85 567056.83 497068.43 567065.17 497070.09 567080.2 497066.04 567094.27 497058.89 567104.53 497050.31 567110.49,g_78,EPSG:2180,2,Odk,PL.PZGIK.BDOT10k.PTSOA.04.153,Wysypisko śmieci
2D124632-C2A5-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTSO01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,484032.55 571614.61 484113.45 571609.68 484197.13 571605.68 484263.2 571600.52 484272.29 571599.81 484252.82 571516.41 484249.12 571516.78 484136.22 571530.01 484029.16 571542.01 483992.74 571544.69 484000.66 571567.79 484017.09 571615.76 484032.55 571614.61,,g_116,EPSG:2180,2,Odk,PL.PZGIK.BDOT10k.PTSOA.04.154,
