OT_ADMS_P/idIIP/BT_Identyfikator/lokalnyId/__text,OT_ADMS_P/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_ADMS_P/idIIP/BT_Identyfikator/wersjaId/__text,OT_ADMS_P/czyObiektBDOO/__text,OT_ADMS_P/x_kod/__text,OT_ADMS_P/x_skrKarto/_xsi:nil,OT_ADMS_P/x_skrKarto/_nilReason,OT_ADMS_P/x_katDoklGeom/__text,OT_ADMS_P/x_doklGeom/_uom,OT_ADMS_P/x_doklGeom/__text,OT_ADMS_P/x_zrodloDanychG/__text,OT_ADMS_P/x_zrodloDanychA/__text,OT_ADMS_P/x_katIstnienia/_xsi:nil,OT_ADMS_P/x_katIstnienia/_nilReason,OT_ADMS_P/x_rodzajReprGeom/__text,OT_ADMS_P/x_uzytkownik/_xlink:href,OT_ADMS_P/x_aktualnoscG/__text,OT_ADMS_P/x_aktualnoscA/__text,OT_ADMS_P/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_ADMS_P/x_dataUtworzenia/__text,OT_ADMS_P/x_kodKarto10k/_xsi:nil,OT_ADMS_P/x_kodKarto10k/_nilReason,OT_ADMS_P/x_kodKarto25k/_xsi:nil,OT_ADMS_P/x_kodKarto25k/_nilReason,OT_ADMS_P/x_kodKarto50k/_xsi:nil,OT_ADMS_P/x_kodKarto50k/_nilReason,OT_ADMS_P/x_kodKarto100k/_xsi:nil,OT_ADMS_P/x_kodKarto100k/_nilReason,OT_ADMS_P/x_kodKarto250k/_xsi:nil,OT_ADMS_P/x_kodKarto250k/_nilReason,OT_ADMS_P/x_kodKarto500k/_xsi:nil,OT_ADMS_P/x_kodKarto500k/_nilReason,OT_ADMS_P/x_kodKarto1000k/_xsi:nil,OT_ADMS_P/x_kodKarto1000k/_nilReason,OT_ADMS_P/nazwa/__text,OT_ADMS_P/geometria/Polygon/exterior/LinearRing/posList/__text,OT_ADMS_P/geometria/Polygon/_gml:id,OT_ADMS_P/geometria/Polygon/_srsName,OT_ADMS_P/geometria/Polygon/_srsDimension,OT_ADMS_P/idPRNG/__text,OT_ADMS_P/idTerytGmi/__text,OT_ADMS_P/idTerytMiejsc/__text,OT_ADMS_P/liczbaMieszkancow/__text,OT_ADMS_P/rodzaj/__text,OT_ADMS_P/siedzibaUrzeduGminy/__text,OT_ADMS_P/adja_a3/_xlink:href,OT_ADMS_P/EMUiA/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/lokalnyId/__text,OT_ADMS_P/EMUiA/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_ADMS_P/PRNG/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/lokalnyId/__text,OT_ADMS_P/PRNG/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_ADMS_P/geometria2/Point/pos/__text,OT_ADMS_P/geometria2/Point/_gml:id,OT_ADMS_P/geometria2/Point/_srsName,OT_ADMS_P/geometria2/Point/_srsDimension,OT_ADMS_P/_gml:id,OT_ADMS_P/x_informDodatkowa/__text
2D124630-95DD-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Złotoria,480700.9 569845.82 480705.9 569840.82 480700.9 569835.82 480700.9 569845.82,g_11052,EPSG:2180,2,162065,0415042,0846441,2047,Ws,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.1510,0846441,PL.ZIPIN.1511,162065,PL.PZGIK.204,480702.85 569840.68,p_11052,EPSG:2180,2,OT_ADMS_P.120,
2D124630-95DE-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Lubicz Dolny,483822.26 573989.87 483827.26 573984.87 483822.26 573979.87 483822.26 573989.87,g_11099,EPSG:2180,2,70135,0415042,0846369,2937,Ws,true,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.1510,0846369,PL.ZIPIN.1511,70135,PL.PZGIK.204,483824.21 573984.73,p_11099,EPSG:2180,2,OT_ADMS_P.84,
2D124630-95B3-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2016-11-18,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Czarnowo,449443.93 582230.56 449448.93 582225.56 449443.93 582220.56 449443.93 582230.56,g_11146,EPSG:2180,2,19334,0415092,0850968,730,Ws,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.156,0850968,PL.ZIPIN.EMUiA,19334,PL.PZGIK.204,449445.88 582225.42,p_11146,EPSG:2180,2,OT_ADMS_P.243,
2D124630-95B4-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Głuchowo,470172.95 593730.74 470177.95 593725.74 470172.95 593720.74 470172.95 593730.74,g_11193,EPSG:2180,2,33873,0415022,0841857,607,Ws,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.154,0841857,PL.ZIPIN.1865,33873,PL.PZGIK.204,470174.9 593725.6,p_11193,EPSG:2180,2,OT_ADMS_P.4,
2D124630-95B5-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Grzywna,474035.42 587844.15 474040.42 587839.15 474035.42 587834.15 474035.42 587844.15,g_11240,EPSG:2180,2,40100,0415022,0841892,1156,Ws,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.154,0841892,PL.ZIPIN.1865,40100,PL.PZGIK.204,474037.37 587839.01,p_11240,EPSG:2180,2,OT_ADMS_P.183,
2D124630-95B6-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Zarośle Cienkie,461080.34 580492.51 461085.34 580487.51 461080.34 580482.51 461080.34 580492.51,g_11287,EPSG:2180,2,159059,0415092,0851181,276,Ws,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.156,0851181,PL.ZIPIN.EMUiA,159059,PL.PZGIK.204,461082.29 580487.37,p_11287,EPSG:2180,2,OT_ADMS_P.171,
2D124630-95B7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS03,true,inapplicable,Dok,m,1,EGiB,EGiB,true,inapplicable,PU,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Dębiny,463950.11 589137.24 463955.11 589132.24 463950.11 589127.24 463950.11 589137.24,g_11334,EPSG:2180,2,23267,0415052,0846748,279,Ws,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.157,0846748,PL.ZIPIN.EMUiA,23267,PL.PZGIK.204,463952.06 589132.1,p_11334,EPSG:2180,2,OT_ADMS_P.252,
2D124630-95B8-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS11,true,inapplicable,Dok,m,1,Ort,Trn,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Łysomice-Leśniczówka,474382.61 578362.72 474387.61 578357.72 474382.61 578352.72 474382.61 578362.72,g_11381,EPSG:2180,2,176617,0415062,1031557,,Ls,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.159,1031557,PL.ZIPIN.455,176617,PL.PZGIK.204,474384.56 578357.58,p_11381,EPSG:2180,2,OT_ADMS_P.134,
2D124630-95B9-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS04,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,PU,Uzytkownik04.xml,2016-11-18,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Nowy Świat,483622.04 564614.41 483627.04 564609.41 483622.04 564604.41 483622.04 564614.41,g_11427,EPSG:2180,2,90371,0415072,0847653,35,CWs,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.155,0847653,PL.ZIPIN.EMUiA,90371,PL.PZGIK.204,483623.99 564609.56,p_11427,EPSG:2180,2,OT_ADMS_P.260,
2D124630-9596-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,ADMS05,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,PU,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2016-11-18,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Buczek,472339.4 592870.61 472344.4 592865.61 472339.4 592860.61 472339.4 592870.61,g_11474,EPSG:2180,2,12102,0415022,0841751,97,Kl,false,PL.PZGiK.994.0415__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.154,0841751,PL.ZIPIN.1865,12102,PL.PZGIK.204,472341.35 592865.47,p_11474,EPSG:2180,2,OT_ADMS_P.142,
