OT_PTNZ_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTNZ_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTNZ_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTNZ_A/czyObiektBDOO/__text,OT_PTNZ_A/x_kod/__text,OT_PTNZ_A/x_skrKarto/_xsi:nil,OT_PTNZ_A/x_skrKarto/_nilReason,OT_PTNZ_A/x_katDoklGeom/__text,OT_PTNZ_A/x_doklGeom/_uom,OT_PTNZ_A/x_doklGeom/__text,OT_PTNZ_A/x_zrodloDanychG/__text,OT_PTNZ_A/x_zrodloDanychA/__text,OT_PTNZ_A/x_katIstnienia/_xsi:nil,OT_PTNZ_A/x_katIstnienia/_nilReason,OT_PTNZ_A/x_rodzajReprGeom/__text,OT_PTNZ_A/x_uzytkownik/_xlink:href,OT_PTNZ_A/x_aktualnoscG/__text,OT_PTNZ_A/x_aktualnoscA/__text,OT_PTNZ_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTNZ_A/x_dataUtworzenia/__text,OT_PTNZ_A/x_kodKarto10k/_xsi:nil,OT_PTNZ_A/x_kodKarto10k/_nilReason,OT_PTNZ_A/x_kodKarto25k/_xsi:nil,OT_PTNZ_A/x_kodKarto25k/_nilReason,OT_PTNZ_A/x_kodKarto50k/_xsi:nil,OT_PTNZ_A/x_kodKarto50k/_nilReason,OT_PTNZ_A/x_kodKarto100k/_xsi:nil,OT_PTNZ_A/x_kodKarto100k/_nilReason,OT_PTNZ_A/x_kodKarto250k/_xsi:nil,OT_PTNZ_A/x_kodKarto250k/_nilReason,OT_PTNZ_A/x_kodKarto500k/_xsi:nil,OT_PTNZ_A/x_kodKarto500k/_nilReason,OT_PTNZ_A/x_kodKarto1000k/_xsi:nil,OT_PTNZ_A/x_kodKarto1000k/_nilReason,OT_PTNZ_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTNZ_A/geometria/Polygon/_gml:id,OT_PTNZ_A/geometria/Polygon/_srsName,OT_PTNZ_A/geometria/Polygon/_srsDimension,OT_PTNZ_A/rodzaj/__text,OT_PTNZ_A/_gml:id,OT_PTNZ_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTNZ_A/x_informDodatkowa/__text,OT_PTNZ_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTNZ_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTNZ_A/geometria/Polygon/interior/3/LinearRing/posList/__text
2D124632-C0E0-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,468207.5 583613.35 468209.05 583603.98 468231.39 583607.67 468249.92 583610.51 468249.03 583605.49 468246.34 583596.42 468211.1 583590.86 468163.43 583584.7 468160.07 583617.8 468205.03 583623.83 468207.5 583613.35,g_350,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.1590,,,,,
2D124632-C0E1-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,468064.57 583778.74 468076.59 583685.24 468078.02 583674.77 468055.84 583672.38 468033.67 583670 468032.26 583680.95 468020.24 583774.45 468018.1 583791.13 468061.95 583797.1 468064.57 583778.74,g_384,EPSG:2180,2,Urz,PL.PZGIK.BDOT10k.PTNZA.04.1591,,,,,
2D124632-C0E2-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,466077.76 583529.82 465996.61 583499.8 465990.63 583516.88 465986.51 583527.79 465985.37 583530.87 465993.04 583533.84 466028.48 583547.58 466070.01 583563.67 466077.76 583529.82,g_418,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.1592,,,,,
2D124632-C0E3-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,466136.56 583538.95 466086.35 583527.61 466082.65 583544.02 466087.26 583552.66 466129.77 583569.04 466136.56 583538.95,g_452,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.1593,,,,,
2D124632-C0E4-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,469413.2 584891.84 469405 584887.82 469364.62 584863.64 469294.38 584981.73 469307.86 584987.89 469312.58 584985.21 469336.19 584943.54 469350.64 584951.62 469356.43 584954.96 469361.66 584958.16 469336.75 584998.6 469346.71 585004.55 469413.2 584891.84,g_486,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.1594,,,,,
2D124632-C0E5-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,469181.61 589906.3 469190.18 589910.98 469199.95 589915.8 469202.83 589917.15 469219.84 589876.03 469213.49 589871.85 469209.16 589868.1 469204.83 589863.33 469138.01 589830.86 469094.13 589918.32 469103.98 589923.24 469116.74 589929.53 469157.65 589950.5 469181.61 589906.3,g_520,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.1595,,,,,
2D124632-C0E6-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,464699.82 586723.83 464672.63 586719.02 464663.43 586769.51 464690.85 586774.23 464699.82 586723.83,g_554,EPSG:2180,2,Urz,PL.PZGIK.BDOT10k.PTNZA.04.1596,,,,,
2D124632-C0E7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,484377.41 579769.17 484368.94 579751.46 484358.53 579729.69 484368.58 579724.86 484382.88 579717.9 484377.01 579704.86 484384.39 579701.25 484393.38 579697.14 484401.23 579714.33 484412.38 579741.91 484443.77 579718.05 484441.28 579713.07 484418.96 579668.4 484350.92 579702.44 484322.45 579790.58 484328.93 579799.14 484338.36 579801.48 484377.41 579769.17,g_588,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.15136,,,,,
2D124632-C0E8-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,485029.25 573443.55 485038.24 573408 485038.91 573403.64 485041.04 573389.71 485041.46 573384.44 485010.15 573392.36 484989.75 573397.93 484986.61 573386.44 484982.41 573370.22 484977.81 573371.53 484936.4 573383.32 484927.56 573397.57 484947.71 573420.31 484986.21 573409.55 485010.84 573403.91 485018.56 573436.9 485000.02 573440.81 485005.47 573448.68 485022.24 573472.91 485029.25 573443.55,g_622,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.15137,,,,,
2D124632-C0E9-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTNZ02,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,483270.63 580148.91 483270.63 580119.09 483272.48 580100.89 483275.38 580084 483279.6 580065.27 483285.67 580032.63 483287.78 580012.76 483287.25 579999.04 483285.75 579988.26 483260.48 580008.3 483257.88 580010.43 483238.15 580026.85 483230.75 580033.08 483179.17 580076.47 483177.27 580078.07 483180.76 580081.02 483260.99 580153.47 483269.99 580160.89 483270.63 580148.91,g_656,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.15138,,,,,
