OT_PTUT_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTUT_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTUT_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTUT_A/czyObiektBDOO/__text,OT_PTUT_A/x_kod/__text,OT_PTUT_A/x_skrKarto/_xsi:nil,OT_PTUT_A/x_skrKarto/_nilReason,OT_PTUT_A/x_katDoklGeom/__text,OT_PTUT_A/x_doklGeom/_uom,OT_PTUT_A/x_doklGeom/__text,OT_PTUT_A/x_zrodloDanychG/__text,OT_PTUT_A/x_zrodloDanychA/__text,OT_PTUT_A/x_katIstnienia/_xsi:nil,OT_PTUT_A/x_katIstnienia/_nilReason,OT_PTUT_A/x_rodzajReprGeom/__text,OT_PTUT_A/x_uzytkownik/_xlink:href,OT_PTUT_A/x_aktualnoscG/__text,OT_PTUT_A/x_aktualnoscA/__text,OT_PTUT_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTUT_A/x_dataUtworzenia/__text,OT_PTUT_A/x_kodKarto10k/__text,OT_PTUT_A/x_kodKarto25k/__text,OT_PTUT_A/x_kodKarto50k/__text,OT_PTUT_A/x_kodKarto100k/__text,OT_PTUT_A/x_kodKarto250k/_xsi:nil,OT_PTUT_A/x_kodKarto250k/_nilReason,OT_PTUT_A/x_kodKarto500k/_xsi:nil,OT_PTUT_A/x_kodKarto500k/_nilReason,OT_PTUT_A/x_kodKarto1000k/_xsi:nil,OT_PTUT_A/x_kodKarto1000k/_nilReason,OT_PTUT_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/_gml:id,OT_PTUT_A/geometria/Polygon/_srsName,OT_PTUT_A/geometria/Polygon/_srsDimension,OT_PTUT_A/gatunek/__text,OT_PTUT_A/rodzaj/__text,OT_PTUT_A/_gml:id,OT_PTUT_A/x_informDodatkowa/__text,OT_PTUT_A/x_kodKarto10k/_xsi:nil,OT_PTUT_A/x_kodKarto10k/_nilReason,OT_PTUT_A/x_kodKarto25k/_xsi:nil,OT_PTUT_A/x_kodKarto25k/_nilReason,OT_PTUT_A/x_kodKarto50k/_xsi:nil,OT_PTUT_A/x_kodKarto50k/_nilReason,OT_PTUT_A/x_kodKarto100k/_xsi:nil,OT_PTUT_A/x_kodKarto100k/_nilReason,OT_PTUT_A/gatunek/_xsi:nil,OT_PTUT_A/gatunek/_nilReason,OT_PTUT_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTUT_A/x_skrKarto/__text,OT_PTUT_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/interior/3/LinearRing/posList/__text
2D124632-D95A-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_731,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,464448.31 585579.06 464459.84 585584.81 464463.47 585576 464468.61 585563.24 464431.91 585548.98 464414.67 585572.61 464445.14 585586.61 464446.86 585582.54 464448.31 585579.06,g_357,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15613,,,,,,,,,,,,,,,,
2D124632-D95C-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,487093.31 581321.22 487106.4 581318.82 487106.14 581315.86 487095.03 581188.28 487079.36 581189.64 487093.31 581321.22,g_392,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.151142,,,,,,,,,,,,,,,,
2D124632-D95F-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_731,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,471720.42 593907.72 471751.7 593880.87 471734.38 593855.48 471730.69 593857.3 471721.66 593863.52 471714.93 593869.32 471712.12 593874.4 471710.32 593880.22 471709.82 593887.46 471711.56 593894.25 471715.29 593901.12 471720.42 593907.72,g_427,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15131,,,,,,,,,,,,,,,,
2D124632-D961-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,485770.87 581621.06 485789.77 581633.15 485813.02 581647.84 485832.89 581617.47 485788.54 581591.15 485770.87 581621.06,g_462,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.151132,,,,,,,,,,,,,,,,
2D124632-D962-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,480158.61 580585.15 480176.27 580617.23 480187.35 580608.41 480202.59 580596.34 480214.43 580586.8 480208.68 580578.61 480196.69 580558.83 480158.61 580585.15,g_497,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15925,,,,,,,,,,,,,,,,
2D124632-D964-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,481880.05 593858.06 481929.56 593873.3 481935.35 593854.47 481941.31 593835.11 481944.62 593821.3 481915.62 593812.4 481908.7 593810.28 481894.09 593805.8 481880.05 593858.06,g_532,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15325,,,,,,,,,,,,,,,,
2D124632-D967-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,482171.08 583954.63 482182.59 583950.87 482245.87 583930.25 482222.13 583893.64 482208.2 583900.23 482191.26 583907.07 482178.18 583911.23 482158.4 583916.65 482171.08 583954.63,g_567,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15975,,,,,,,,,,,,,,,,
2D124632-D969-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,479901.43 597365.07 479897.02 597339.09 479885.25 597367.06 479881.56 597398.04 479893.53 597395.33 479906.82 597392.33 479910.94 597391.39 479914.47 597407.02 479921.81 597405.36 479927.53 597404.06 479929.96 597414.79 479930.35 597416.53 479948.85 597412.34 479936.91 597359.55 479901.43 597365.07,g_602,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15318,,,,,,,,,,,,,,,,
2D124632-D96B-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,469769.46 587557.56 469801.38 587560.05 469810.14 587548.51 469807.8 587526.37 469798.65 587526.49 469787.2 587527.11 469758.95 587527.74 469759.77 587546.08 469765.1 587552.24 469769.46 587557.56,g_637,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15657,,,,,,,,,,,,,,,,
2D124632-D96C-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,470776.98 583434.14 470777.21 583385.08 470735.5 583383.62 470736.22 583406.96 470736.83 583427.09 470737.04 583430.48 470748.44 583431.12 470776.98 583434.14,g_672,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15824,,,,,,,,,,,,,,,,
