OT_PTGN_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTGN_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTGN_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTGN_A/czyObiektBDOO/__text,OT_PTGN_A/x_kod/__text,OT_PTGN_A/x_skrKarto/_xsi:nil,OT_PTGN_A/x_skrKarto/_nilReason,OT_PTGN_A/x_katDoklGeom/__text,OT_PTGN_A/x_doklGeom/_uom,OT_PTGN_A/x_doklGeom/__text,OT_PTGN_A/x_zrodloDanychG/__text,OT_PTGN_A/x_zrodloDanychA/__text,OT_PTGN_A/x_katIstnienia/_xsi:nil,OT_PTGN_A/x_katIstnienia/_nilReason,OT_PTGN_A/x_rodzajReprGeom/__text,OT_PTGN_A/x_uzytkownik/_xlink:href,OT_PTGN_A/x_aktualnoscG/__text,OT_PTGN_A/x_aktualnoscA/__text,OT_PTGN_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTGN_A/x_dataUtworzenia/__text,OT_PTGN_A/x_kodKarto10k/__text,OT_PTGN_A/x_kodKarto25k/__text,OT_PTGN_A/x_kodKarto50k/__text,OT_PTGN_A/x_kodKarto100k/__text,OT_PTGN_A/x_kodKarto250k/_xsi:nil,OT_PTGN_A/x_kodKarto250k/_nilReason,OT_PTGN_A/x_kodKarto500k/_xsi:nil,OT_PTGN_A/x_kodKarto500k/_nilReason,OT_PTGN_A/x_kodKarto1000k/_xsi:nil,OT_PTGN_A/x_kodKarto1000k/_nilReason,OT_PTGN_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/_gml:id,OT_PTGN_A/geometria/Polygon/_srsName,OT_PTGN_A/geometria/Polygon/_srsDimension,OT_PTGN_A/rodzaj/__text,OT_PTGN_A/_gml:id,OT_PTGN_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/interior/3/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/interior/4/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/interior/5/LinearRing/posList/__text,OT_PTGN_A/x_informDodatkowa/__text
2D124632-B4E5-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTGN04,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,468270.17 589642.23 468276.55 589632.6 468287.48 589614.94 468308.22 589578.24 468220.91 589533.61 468201.96 589565.92 468237.83 589586 468238.82 589588.47 468239.15 589592.91 468239.64 589598.67 468240.46 589602.95 468241.45 589606.57 468270.17 589642.23,g_368,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.1521,,,,,,,
2D124632-B4E6-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTGN03,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,491370.27 555654.41 491372.52 555664.3 491403.98 555661.6 491414.76 555654.41 491436.33 555650.81 491444.87 555641.37 491495.64 555637.77 491528.9 555617.54 491587.78 555617.06 491632.61 555587.68 491649.15 555578.44 491655.61 555562.65 491675.33 555554.4 491688.6 555543.63 491697.57 555543.27 491697.16 555524.4 491678.61 555535.22 491654.93 555543 491623.14 555558.91 491587.71 555573.94 491502.39 555603.16 491496.99 555599.11 491432.73 555613.05 491421.5 555619.79 491417.01 555640.02 491370.27 555654.41,g_402,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.1522,,,,,,,
2D124632-B4E7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTGN04,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_736,0025_736,0050_736,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,474981.56 581799.72 475029.79 581797.24 475029.96 581795.28 475032.01 581782.72 475037.56 581759.36 475039.6 581752.35 475039.66 581745.65 475037.98 581709.98 475035.05 581682.68 475031.63 581654.78 475021.84 581583.8 475010.1 581523.66 475009.48 581520.97 475002.29 581489.97 474993.27 581455.53 474934.37 581473.57 474935.4 581523.25 474939.38 581522.83 474949.16 581587.07 474963.41 581592.11 474970.65 581665.19 474962.67 581675.73 474981.56 581799.72,g_436,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.1523,,,,,,,
2D124632-B4E8-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTGN04,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,482439.57 585214.96 482448.52 585212.25 482469.92 585203.01 482479.11 585197.08 482480.6 585192.08 482474.12 585143.18 482471.67 585148.43 482460.12 585151.93 482454.93 585148.96 482441.66 585141.65 482391.23 585124.67 482381.74 585140.65 482361.27 585137.66 482330.81 585126.17 482328.81 585126.17 482299.85 585119.68 482269.89 585121.18 482268.39 585126.67 482272.89 585134.41 482289.36 585135.66 482345.79 585150.39 482357.02 585154.88 482376.25 585165.87 482390.48 585174.61 482399.21 585179.6 482400.79 585188.26 482412.55 585193.67 482420.91 585197.98 482427.24 585201.77 482432.32 585206.74 482437.36 585212.91 482439.57 585214.96,g_470,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.1524,,,,,,,
2D124632-B4E9-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTGN04,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,482049.63 586609.96 481960.77 586628.84 481962.01 586631.09 481969.21 586645.5 481972.76 586654.15 481974.7 586658.88 481978.13 586673.29 481982.67 586695.97 481982.94 586697.31 481988.09 586733 481990.14 586752.21 482014.32 586742.96 482024.83 586739.34 482032.81 586737.89 482040.51 586735.95 482041.82 586735.68 482051.66 586733.69 482056.97 586732.79 482053.59 586682.68 482050.82 586627.33 482049.63 586609.96,g_504,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.1525,,,,,,,
2D124632-B4EA-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTGN04,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,484328.16 585249.65 484366.4 585240.89 484332.15 585173.55 484292.87 585084.9 484309.24 585077.23 484300.63 585061.1 484294.14 585055.6 484287.32 585052.32 484279.74 585053.08 484276.96 585055.35 484275.95 585062.67 484272.17 585073.53 484265.35 585084.65 484256.76 585098.28 484328.16 585249.65,g_538,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.1526,484289.58 585160.01 484288.38 585157.89 484277.95 585134.28 484268.24 585103.55 484267.67 585101.75 484266.01 585096.54 484265.85 585094.57 484266.59 585093.33 484268.25 585092.22 484272.18 585091.67 484275.57 585091.76 484276.64 585092.92 484276.93 585093.89 484280.18 585104.88 484281.34 585111.46 484284.06 585116.73 484286.69 585127.19 484293.86 585141.03 484297.24 585147.05 484298.73 585151.73 484298.73 585154.62 484297.97 585155.87 484296.83 585156.8 484295.79 585157.4 484293.94 585157.83 484292.8 585158.11 484291.35 585159.65 484290.41 585160.09 484289.58 585160.01,,,,,,
2D124632-B4EB-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTGN03,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,486095.5 577645.41 486062.34 577603.79 486033.98 577574.15 485977.25 577613.9 486032.61 577671.34 486036.8 577674.65 486043.78 577677.64 486095.5 577645.41,g_575,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.1527,,,,,,,
2D124632-B4EC-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTGN03,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,486893.76 579070.03 486900.52 579065.89 487042.4 578918.68 487048.62 578912.03 487053.34 578905.69 487055.06 578901.83 487055.27 578897.32 487054.52 578893.45 487053.02 578890.34 487050.87 578887.11 487031.13 578868.21 487024.91 578861.13 487019.33 578853.07 487015.57 578846.74 487010.96 578837.29 487011.71 578844.59 487011.17 578849.31 487009.03 578852.64 487005.27 578856.72 486999.05 578862.37 486857.6 578987.4 486853.95 578993.42 486851.81 579001.15 486853.1 579006.3 486875.41 579062.52 486877.77 579066.06 486880.56 579069.5 486884.96 579070.78 486889.9 579071.11 486893.76 579070.03,g_609,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.1528,,,,,,,
2D124632-B4ED-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTGN03,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,487387.3 579575.26 487444.1 579516.03 487492.66 579465.31 487487.72 579452.47 487484.08 579449.42 487477.4 579449.56 487470.27 579452.33 487460.82 579461.63 487444 579479.29 487408.87 579518.52 487395.2 579531.41 487376.52 579532.18 487354.61 579554.62 487332.29 579576.81 487318.98 579589.42 487348.04 579618.45 487387.3 579575.26,g_643,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.1529,,,,,,,
2D124632-B4EE-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTGN03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_737,0025_737_small,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,482532.03 580930.37 482500.32 580929.78 482489.73 580932.06 482483.58 580935.45 482476.16 580942.02 482467.68 580951.56 482463.66 580954.53 482457.51 580962.37 482446.91 580976.36 482458.57 580983.78 482467.05 580986.11 482486.55 580990.35 482502.45 580992.26 482513.68 580993.1 482518.77 580993.1 482523.01 580992.89 482526.61 580991.41 482531.48 580986.11 482540.39 580972.33 482532.03 580930.37,g_677,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.1530,,,,,,,
