OT_PTSO_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTSO_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTSO_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTSO_A/czyObiektBDOO/__text,OT_PTSO_A/x_kod/__text,OT_PTSO_A/x_skrKarto/_xsi:nil,OT_PTSO_A/x_skrKarto/_nilReason,OT_PTSO_A/x_katDoklGeom/__text,OT_PTSO_A/x_zrodloDanychG/__text,OT_PTSO_A/x_zrodloDanychA/__text,OT_PTSO_A/x_katIstnienia/_xsi:nil,OT_PTSO_A/x_katIstnienia/_nilReason,OT_PTSO_A/x_rodzajReprGeom/__text,OT_PTSO_A/x_uzytkownik/_xlink:href,OT_PTSO_A/x_aktualnoscG/__text,OT_PTSO_A/x_aktualnoscA/__text,OT_PTSO_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTSO_A/x_dataUtworzenia/__text,OT_PTSO_A/x_kodKarto10k/__text,OT_PTSO_A/x_kodKarto25k/__text,OT_PTSO_A/x_kodKarto50k/__text,OT_PTSO_A/x_kodKarto100k/__text,OT_PTSO_A/x_kodKarto250k/_xsi:nil,OT_PTSO_A/x_kodKarto250k/_nilReason,OT_PTSO_A/x_kodKarto500k/_xsi:nil,OT_PTSO_A/x_kodKarto500k/_nilReason,OT_PTSO_A/x_kodKarto1000k/_xsi:nil,OT_PTSO_A/x_kodKarto1000k/_nilReason,OT_PTSO_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTSO_A/geometria/Polygon/_gml:id,OT_PTSO_A/geometria/Polygon/_srsName,OT_PTSO_A/geometria/Polygon/_srsDimension,OT_PTSO_A/rodzaj/__text,OT_PTSO_A/_gml:id
2CE79A9C-9810-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTSO01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430,true,inapplicable,true,inapplicable,true,inapplicable,475938.28 576277.34 475946.44 576297.77 475966.28 576317.61 475982.61 576353.21 475982.61 576382.98 476005.95 576401.08 476050.28 576420.92 476086.45 576429.09 476129.54 576442.16 476140.64 576437.89 476146.3 576434.25 476160.15 576424.33 476171.2 576414.06 476184.51 576401.02 476200.51 576383.36 476211.97 576373.04 476241.57 576349.59 476251.3 576343.17 476261.12 576337.29 476279.1 576326.65 476283.47 576323.18 476289.32 576317.16 476294.11 576309.24 476296 576302.56 476296 576296.45 476295.01 576289.35 476292.8 576279.56 476274.93 576232.3 476256.57 576178.01 476250.72 576163.11 476246.18 576154.69 476242.47 576149.57 476238.84 576144.93 476231.67 576138.5 476216.33 576126.2 476207.88 576121.66 476200.34 576119.85 476196.13 576119.36 476188.54 576119.52 476117.65 576134.48 476071.61 576149.24 476058.96 576154.3 476050.1 576159.78 476043.56 576165.69 476019.73 576189.73 476014.88 576193.53 475974.5 576217.55 475965.94 576223.69 475961.8 576229.02 475958.91 576234.55 475957.43 576239.17 475940.03 576237.65 475938.28 576277.34,g_7,EPSG:2180,2,Odk,PL.PZGIK.BDOT10k.PTSOA.04.631
2CE79A9C-9811-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTSO01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430,true,inapplicable,true,inapplicable,true,inapplicable,476020.54 576616.5 476020.9 576620.98 476022.55 576625.35 476035.88 576647.54 476054.4 576676.27 476075.4 576708.14 476095.93 576738.71 476116.81 576768.81 476134.94 576794.51 476148.51 576811.39 476163.02 576830.04 476179.77 576854.71 476196.64 576879.38 476205.14 576891.3 476208.91 576894.6 476213.99 576897.44 476218.47 576897.91 476223.5 576897.46 476232.82 576893.21 476239.79 576890.37 476246.86 576888.72 476303.57 576876.92 476324.34 576872.67 476340.62 576869.36 476347.34 576866.41 476351.47 576862.4 476353.59 576858.74 476354.89 576853.5 476354.77 576843.12 476353.83 576824.94 476352.41 576814.67 476345.34 576781.15 476339.08 576763.8 476330.47 576741.37 476315.72 576705.84 476294.61 576655.16 476285.4 576633.09 476279.98 576621.99 476276.2 576615.38 476268.65 576604.4 476241.4 576565.34 476213 576523.98 476207.34 576517.84 476202.5 576515.25 476195.9 576515.01 476188.47 576516.31 476180.32 576518.62 476156.09 576530.65 476119.92 576548.72 476092.98 576563.13 476066.43 576577.3 476032.93 576595.84 476026.09 576601.27 476023.02 576605.87 476021.37 576610.71 476020.54 576616.5,g_40,EPSG:2180,2,Odk,PL.PZGIK.BDOT10k.PTSOA.04.632
2CE79A9C-9812-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTSO02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_430,0025_430_small,0050_430_small,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,477361.26 575082.54 477363.11 575147 477394.8 575146.73 477392.42 575081.48 477361.26 575082.54,g_73,EPSG:2180,2,Odp,PL.PZGIK.BDOT10k.PTSOA.04.633
