OT_PTPL_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTPL_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTPL_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTPL_A/czyObiektBDOO/__text,OT_PTPL_A/x_kod/__text,OT_PTPL_A/x_skrKarto/_xsi:nil,OT_PTPL_A/x_skrKarto/_nilReason,OT_PTPL_A/x_katDoklGeom/__text,OT_PTPL_A/x_zrodloDanychG/__text,OT_PTPL_A/x_zrodloDanychA/__text,OT_PTPL_A/x_katIstnienia/_xsi:nil,OT_PTPL_A/x_katIstnienia/_nilReason,OT_PTPL_A/x_rodzajReprGeom/__text,OT_PTPL_A/x_uzytkownik/_xlink:href,OT_PTPL_A/x_aktualnoscG/__text,OT_PTPL_A/x_aktualnoscA/__text,OT_PTPL_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTPL_A/x_dataUtworzenia/__text,OT_PTPL_A/x_informDodatkowa/__text,OT_PTPL_A/x_kodKarto10k/__text,OT_PTPL_A/x_kodKarto25k/__text,OT_PTPL_A/x_kodKarto50k/__text,OT_PTPL_A/x_kodKarto100k/__text,OT_PTPL_A/x_kodKarto250k/_xsi:nil,OT_PTPL_A/x_kodKarto250k/_nilReason,OT_PTPL_A/x_kodKarto500k/_xsi:nil,OT_PTPL_A/x_kodKarto500k/_nilReason,OT_PTPL_A/x_kodKarto1000k/_xsi:nil,OT_PTPL_A/x_kodKarto1000k/_nilReason,OT_PTPL_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTPL_A/geometria/Polygon/_gml:id,OT_PTPL_A/geometria/Polygon/_srsName,OT_PTPL_A/geometria/Polygon/_srsDimension,OT_PTPL_A/materialNawierzchni/__text,OT_PTPL_A/_gml:id,OT_PTPL_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTPL_A/x_kodKarto10k/_xsi:nil,OT_PTPL_A/x_kodKarto10k/_nilReason,OT_PTPL_A/x_kodKarto25k/_xsi:nil,OT_PTPL_A/x_kodKarto25k/_nilReason,OT_PTPL_A/x_kodKarto50k/_xsi:nil,OT_PTPL_A/x_kodKarto50k/_nilReason,OT_PTPL_A/x_kodKarto100k/_xsi:nil,OT_PTPL_A/x_kodKarto100k/_nilReason,OT_PTPL_A/x_skrKarto/__text,OT_PTPL_A/materialNawierzchni/_xsi:nil,OT_PTPL_A/materialNawierzchni/_nilReason,OT_PTPL_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTPL_A/geometria/Polygon/interior/2/LinearRing/posList/__text
2CE79A9C-96F2-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140_small,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472354.75 574115.14 472384.12 574130.04 472385.58 574130.78 472392.84 574116.48 472398.87 574104.59 472387.65 574098.9 472368.04 574088.94 472354.75 574115.14,g_14734,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.6377,,,,,,,,,,,,,,
2CE79A9C-96F3-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140_small,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472376.79 573020.51 472384.75 573044.16 472405.67 573038.32 472435.2 573028.48 472428.35 573002.08 472426.07 573002.82 472422.68 573003.92 472393.21 573013.02 472393.82 573014.84 472381.99 573018.56 472376.79 573020.51,g_14767,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.6378,,,,,,,,,,,,,,
2CE79A9C-96F4-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,Parking,0010_140,0025_140,0050_140_small,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472398.48 572349.29 472400.73 572369.88 472411.94 572368.64 472418.15 572367.96 472472.59 572361.96 472471.43 572354.19 472470.22 572346.95 472461.71 572348.22 472460.75 572341.74 472459.12 572342.05 472439.34 572344.41 472398.48 572349.29,g_14800,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.6379,,,,,,,,,,,,,,
2CE79A9C-96F5-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472408.7 573150.51 472408.97 573153.5 472409.98 573156.98 472421.1 573194.33 472424.42 573205.48 472430.06 573224.42 472442.74 573220.68 472464.85 573214.17 472471.73 573212.14 472466.42 573193.27 472470.35 573192.11 472467.12 573178.26 472514.84 573163.61 472510.59 573149.57 472499.9 573153.56 472499.24 573149.4 472437.09 573168 472426.42 573132.89 472422.87 573122.81 472421.18 573124.61 472418.6 573127.46 472416.43 573130.98 472413.04 573137.63 472411.97 573139.96 472410.6 573142.92 472409.24 573147.53 472408.7 573150.51,g_14834,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.6380,,,,,,,,,,,,,,
2CE79A9C-96F6-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140_small,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472420.16 575608.65 472430.32 575611.07 472434.73 575603.02 472441.89 575588.69 472445.58 575581.1 472458.44 575587.1 472472.51 575559.2 472447.16 575552.57 472425.23 575598.11 472420.16 575608.65,g_14867,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.6381,,,,,,,,,,,,,,
2CE79A9C-96F7-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140_small,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472436.71 573856.59 472458.23 573858.1 472460.38 573819.13 472466.62 573819.13 472466.64 573804.16 472437.59 573803.52 472436.71 573856.59,g_14900,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.6382,,,,,,,,,,,,,,
2CE79A9C-96F8-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,472416.99 571291.91 472476.42 571306.42 472635.22 571358.39 472643.59 571354.54 472646.25 571344.95 472634.71 571340.66 472531.13 571307.72 472530.61 571302 472513.38 571297.09 472509.19 571302.44 472416.99 571291.91,g_14933,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.6383,,,,,,,,,,,,,,
2CE79A9C-96F9-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140,true,inapplicable,true,inapplicable,true,inapplicable,474049.8 569077.31 474051 569087.95 474052.13 569097.89 474055.04 569122.96 474055.6 569127.7 474068.87 569210.16 474071.35 569230.09 474107.12 569225.73 474133.15 569222.57 474149.95 569220.52 474146.29 569189.56 474133.2 569078.88 474115.3 569078.77 474085.12 569078.23 474061.14 569077.39 474049.8 569077.31,g_14966,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.63205,,,,,,,,,,,,,,
2CE79A9C-96FA-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140_small,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,474060.23 572501.12 474096.73 572505.46 474098.62 572484.62 474092.44 572483.19 474092.91 572478.69 474069.5 572473.26 474062.4 572470.65 474060.23 572501.12,g_14999,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.63206,,,,,,,,,,,,,,
2CE79A9C-979B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140,true,inapplicable,true,inapplicable,true,inapplicable,473623 571455.93 473626.41 571456.65 473626.13 571459.63 473644.88 571467.74 473644.29 571470.42 473643.61 571472.7 473637.63 571492.71 473649.34 571495.73 473650.37 571491.77 473668.75 571497.15 473667.57 571500.44 473679.47 571503.51 473684.31 571487.54 473711.6 571496.82 473714.96 571497.55 473715.5 571494.59 473760.11 571498.6 473759.85 571502.16 473758.88 571515.6 473772.84 571516.12 473784.89 571517.12 473792.55 571512.59 473806.57 571510.12 473812.03 571509.5 473844.86 571505.8 473767.04 571481.31 473688.12 571459.19 473626.43 571442.68 473623.7 571453.23 473623 571455.93,g_15032,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.63162,,,,,,,,,,,,,,
