OT_PTZB_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTZB_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTZB_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTZB_A/czyObiektBDOO/__text,OT_PTZB_A/x_kod/__text,OT_PTZB_A/x_skrKarto/_xsi:nil,OT_PTZB_A/x_skrKarto/_nilReason,OT_PTZB_A/x_katDoklGeom/__text,OT_PTZB_A/x_zrodloDanychG/__text,OT_PTZB_A/x_zrodloDanychA/__text,OT_PTZB_A/x_katIstnienia/_xsi:nil,OT_PTZB_A/x_katIstnienia/_nilReason,OT_PTZB_A/x_rodzajReprGeom/__text,OT_PTZB_A/x_uzytkownik/_xlink:href,OT_PTZB_A/x_aktualnoscG/__text,OT_PTZB_A/x_aktualnoscA/__text,OT_PTZB_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTZB_A/x_dataUtworzenia/__text,OT_PTZB_A/x_kodKarto10k/__text,OT_PTZB_A/x_kodKarto25k/_xsi:nil,OT_PTZB_A/x_kodKarto25k/_nilReason,OT_PTZB_A/x_kodKarto50k/__text,OT_PTZB_A/x_kodKarto100k/__text,OT_PTZB_A/x_kodKarto250k/_xsi:nil,OT_PTZB_A/x_kodKarto250k/_nilReason,OT_PTZB_A/x_kodKarto500k/_xsi:nil,OT_PTZB_A/x_kodKarto500k/_nilReason,OT_PTZB_A/x_kodKarto1000k/_xsi:nil,OT_PTZB_A/x_kodKarto1000k/_nilReason,OT_PTZB_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/_gml:id,OT_PTZB_A/geometria/Polygon/_srsName,OT_PTZB_A/geometria/Polygon/_srsDimension,OT_PTZB_A/charakter/__text,OT_PTZB_A/rodzaj/__text,OT_PTZB_A/roslinnosc/__text,OT_PTZB_A/_gml:id,OT_PTZB_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTZB_A/x_kodKarto10k/_xsi:nil,OT_PTZB_A/x_kodKarto10k/_nilReason,OT_PTZB_A/x_kodKarto50k/_xsi:nil,OT_PTZB_A/x_kodKarto50k/_nilReason,OT_PTZB_A/x_kodKarto100k/_xsi:nil,OT_PTZB_A/x_kodKarto100k/_nilReason,OT_PTZB_A/geometria/Polygon/interior/3/LinearRing/posList/__text,OT_PTZB_A/x_kodKarto25k/__text,OT_PTZB_A/x_informDodatkowa/__text,OT_PTZB_A/geometria/Polygon/interior/4/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/5/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/6/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/7/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/8/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/9/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/10/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/11/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/12/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/13/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/14/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/15/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/16/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/17/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/18/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/19/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/20/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/21/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/22/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/23/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/24/LinearRing/posList/__text
2CE79A9C-9D00-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,472975.3 574541.49 473032.81 574564.94 473036.72 574558.01 473043.23 574547.5 473040.98 574546.37 473027.48 574539.67 472977.29 574514.72 472975.3 574541.49,g_56040,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.6383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D93-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475279.4 573225.94 475305.38 573250.49 475322.27 573228.11 475300.84 573204.61 475279.4 573225.94,g_56075,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D94-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475327.7 573387.19 475373.25 573430.5 475382.15 573423.29 475374.17 573414.78 475393.25 573393.58 475368.06 573369.61 475356.59 573356.85 475327.7 573387.19,g_56110,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D95-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475342.3 572314.56 475381.79 572329.54 475402.53 572291.06 475422.06 572256.85 475423.34 572253.93 475431.24 572252.92 475435.53 572243.48 475446.63 572197.16 475441.79 572195.66 475424.75 572190.38 475404.19 572184 475399.26 572182.47 475392.23 572204.3 475383.31 572228.08 475372.75 572253.41 475368.37 572262.28 475365.86 572267.06 475354.85 572289.26 475344.15 572310.83 475342.3 572314.56,g_56145,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D96-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475421.66 572344.67 475501.91 572378.67 475502.83 572376.42 475506.64 572366.97 475517.85 572331.87 475439.48 572305.75 475421.66 572344.67,g_56180,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D97-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475474.83 573009.9 475514.47 573013.14 475514.76 573008.69 475519.18 572950.37 475519.89 572940.97 475482.03 572938.1 475475.55 573003.39 475474.83 573009.9,g_56215,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D98-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475489.11 572904.76 475494.3 572908.24 475492.9 572924 475557.51 572928.73 475560.8 572926.41 475564.96 572923.22 475567.26 572920.15 475567.92 572916.76 475567.7 572911.28 475566.5 572907.34 475563.32 572902.09 475489.78 572895.96 475489.11 572904.76,g_56250,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D99-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475490.86 569860.67 475572.21 569868.05 475602.91 569868.05 475626.04 569868.05 475632.16 569870.24 475661.23 569881.64 475677.18 569887.84 475681.18 569860.9 475684.83 569836.27 475663.19 569834.04 475628.91 569830.51 475627.71 569841.55 475581.62 569839.87 475581.38 569844.91 475543.22 569842.51 475543.46 569836.27 475493.57 569834.24 475492.43 569845.39 475490.86 569860.67,g_56285,EPSG:2180,2,Gst,Wld,Br,PL.PZGIK.BDOT10k.PTZBA.04.63251,,,,true,inapplicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D9A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475496.06 572586.05 475513.81 572592.08 475523.4 572595.6 475536.77 572600.5 475535.61 572603.41 475540.8 572605.56 475545.11 572607.19 475555.91 572583.28 475529.14 572572.55 475528.49 572574.04 475525.7 572581.93 475524.86 572583.68 475494.14 572572.28 475490.98 572581.19 475496.06 572586.05,g_56320,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D9B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475506.32 572380.54 475547.32 572399.64 475549.44 572395.56 475554.69 572384.44 475556.6 572380.41 475551.5 572377.99 475546.46 572375.42 475560.91 572344.92 475532.22 572332.78 475530.05 572336.61 475524.3 572347.3 475521.2 572353.11 475513.38 572367.63 475507.63 572378.43 475506.32 572380.54,g_56355,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D9C-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,475564.98 572410.19 475569.1 572412.36 475594.95 572426.39 475595.09 572423.06 475596.54 572406.42 475597.74 572396.41 475598.18 572392.16 475600.75 572363.67 475589.89 572358 475570.8 572398.69 475565.91 572408.38 475564.98 572410.19,g_56390,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
