OT_PTNZ_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTNZ_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTNZ_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTNZ_A/czyObiektBDOO/__text,OT_PTNZ_A/x_kod/__text,OT_PTNZ_A/x_skrKarto/_xsi:nil,OT_PTNZ_A/x_skrKarto/_nilReason,OT_PTNZ_A/x_katDoklGeom/__text,OT_PTNZ_A/x_zrodloDanychG/__text,OT_PTNZ_A/x_zrodloDanychA/__text,OT_PTNZ_A/x_katIstnienia/_xsi:nil,OT_PTNZ_A/x_katIstnienia/_nilReason,OT_PTNZ_A/x_rodzajReprGeom/__text,OT_PTNZ_A/x_uzytkownik/_xlink:href,OT_PTNZ_A/x_aktualnoscG/__text,OT_PTNZ_A/x_aktualnoscA/__text,OT_PTNZ_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTNZ_A/x_dataUtworzenia/__text,OT_PTNZ_A/x_kodKarto10k/_xsi:nil,OT_PTNZ_A/x_kodKarto10k/_nilReason,OT_PTNZ_A/x_kodKarto25k/_xsi:nil,OT_PTNZ_A/x_kodKarto25k/_nilReason,OT_PTNZ_A/x_kodKarto50k/_xsi:nil,OT_PTNZ_A/x_kodKarto50k/_nilReason,OT_PTNZ_A/x_kodKarto100k/_xsi:nil,OT_PTNZ_A/x_kodKarto100k/_nilReason,OT_PTNZ_A/x_kodKarto250k/_xsi:nil,OT_PTNZ_A/x_kodKarto250k/_nilReason,OT_PTNZ_A/x_kodKarto500k/_xsi:nil,OT_PTNZ_A/x_kodKarto500k/_nilReason,OT_PTNZ_A/x_kodKarto1000k/_xsi:nil,OT_PTNZ_A/x_kodKarto1000k/_nilReason,OT_PTNZ_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTNZ_A/geometria/Polygon/_gml:id,OT_PTNZ_A/geometria/Polygon/_srsName,OT_PTNZ_A/geometria/Polygon/_srsDimension,OT_PTNZ_A/rodzaj/__text,OT_PTNZ_A/_gml:id,OT_PTNZ_A/geometria/Polygon/interior/LinearRing/posList/__text,OT_PTNZ_A/x_informDodatkowa/__text
2CE79A9C-9548-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,474833.55 574838.72 474863.52 574839.94 474879.63 574840.95 474880.4 574813.28 474881.53 574773.3 474863.17 574773.97 474836.03 574774.03 474833.9 574828.4 474833.55 574838.72,g_340,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63134,,
2CE79A9C-9549-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,474943.78 574662.01 474945.13 574670.49 474986.71 574672.58 474986.84 574666.16 474986.98 574658.74 474985.88 574646.56 474984.75 574637.49 474984.22 574633.27 474954.98 574640.32 474960.06 574657.84 474943.78 574662.01,g_373,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63135,,
2CE79A9C-954A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,470823.92 574361.35 470861.81 574375.35 470857.44 574404.35 470858.05 574405.91 470867.72 574406.5 470872.87 574406.67 470895.09 574417.97 470930.02 574440.91 470933.44 574443.36 470922.18 574462 470951.91 574483.11 470995.95 574419.15 470966.27 574413.27 470972.45 574380.17 470863.42 574368 470864.82 574364.98 470866.98 574361.86 470869.35 574359.7 470872.47 574357.65 470875.92 574356.25 470880.45 574354.96 470885.84 574354.31 470832.79 574336.14 470823.92 574361.35,g_406,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63136,,
2CE79A9C-954B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,480414.33 576401.53 480414.15 576401.75 480434.79 576407.36 480443.34 576399.96 480473.17 576374.11 480482.36 576366.15 480471.8 576353.67 480426.96 576299.32 480421.7 576292.95 480387.43 576326.08 480371.91 576310.35 480369.26 576307.66 480306.25 576333.6 480252.77 576357.85 480307.67 576372.78 480315.73 576346.5 480324.5 576348.36 480333.22 576350.81 480398.96 576370.42 480397.58 576375.19 480420.58 576380.91 480414.33 576401.53,g_439,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63138,,
2CE79A9C-954C-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475869.26 573039.57 475878.87 573039.8 475890.55 573039.99 475912.78 573039.48 475945.71 573041.22 475947.63 573012.51 476004.84 573017.15 476005.78 573002.56 476010.17 572934.49 475982.15 572933.3 475982.76 572840.95 475978.58 572818.57 475947.71 572835.16 475911.43 572828.45 475885.04 572805.3 475881.1 572812.12 475879.8 572818.47 475879.77 572834.47 475901.66 572834.75 475896.03 572944.81 475876.92 572943.69 475873.77 572964.88 475869.26 573039.57,g_472,EPSG:2180,2,Urz,PL.PZGIK.BDOT10k.PTNZA.04.6328,,teren budowy osiedla mieszkaniowego
2CE79A9C-954D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,469667.35 572856.26 469658.17 572857.7 469645.73 572864.13 469661.16 572960.84 469669.47 573012.96 469685.62 573010.71 469725.49 573005.15 469730.73 573004.42 469721.11 572949.32 469731.83 572925.64 469762.42 572879.97 469761.5 572873.31 469761.64 572870.92 469764.27 572864.97 469703.54 572857.87 469697.1 572856.34 469687.51 572854.05 469678.09 572850.36 469673.26 572851 469669.19 572852.91 469667.35 572856.26,g_506,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.6349,,Składowanie złomu
2CE79A9C-954E-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,469752.34 572817.07 469692.36 572827.66 469696.48 572851.77 469697.1 572856.34 469703.54 572857.87 469764.27 572864.97 469767.63 572857.35 469764.98 572836.77 469752.34 572817.07,g_540,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.6350,,
2CE79A9C-954F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,470475.74 572877.65 470484.83 572869.99 470480.91 572863.97 470480.62 572857.8 470489.11 572846.03 470500.52 572826.81 470510.99 572815.67 470522.72 572807.63 470536.68 572803.06 470544.1 572798.19 470558.79 572788.55 470517.15 572732.77 470491.7 572702.21 470464.41 572724.32 470448.27 572726.22 470439.96 572729.04 470430.4 572733.01 470424.46 572734.2 470431.33 572801.58 470425.56 572804.54 470407.42 572793.72 470376.01 572821.73 470373.92 572823.69 470410.43 572859.73 470428.18 572843.88 470439.68 572833.61 470459.68 572858.35 470475.74 572877.65,g_573,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.6351,,
2CE79A9C-9550-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,469471.34 572673.83 469482.19 572750.88 469515.74 572766.52 469507.32 572787.97 469532.65 572794.66 469534.25 572794.93 469665.67 572773.72 469706.51 572703.38 469696.56 572635.59 469661.62 572609.16 469613.71 572610.57 469612.83 572602.14 469538.88 572612.76 469539.04 572622.42 469498.08 572631.8 469471.34 572673.83,g_606,EPSG:2180,2,Urz,PL.PZGIK.BDOT10k.PTNZA.04.631,469561.67 572721.83 469554.66 572721.31 469548.07 572719.45 469542.94 572716.72 469538.25 572712.84 469534.79 572708.58 469532.49 572704.46 469530.58 572698.85 469529.89 572694.19 469529.68 572689.91 469530.58 572685.53 469532.19 572680.62 469534.62 572676.07 469537.86 572671.64 469541.62 572668.76 469545.79 572666 469550.76 572664.04 469556.11 572662.73 469618.69 572653.78 469622.86 572653.86 469627.66 572654.71 469631.21 572655.88 469636.12 572658.42 469640.33 572661.71 469644.65 572666.8 469647.29 572671.67 469648.85 572676.13 469649.54 572680.67 469649.48 572686.32 469648.75 572690.43 469647.6 572694 469645.78 572697.81 469643.49 572701.24 469640.41 572704.64 469636.15 572707.98 469630.71 572710.74 469625.04 572712.28 469561.67 572721.83,
2CE79A9C-9551-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,470970.08 572809.21 470970.55 572844.19 470975.82 572844.2 470975.8 572848.28 471062.45 572848.41 471061.49 572776.84 471015.43 572776.84 471016.61 572809.21 470970.08 572809.21,g_642,EPSG:2180,2,Urz,PL.PZGIK.BDOT10k.PTNZA.04.632,,Budowa
