OT_TCON_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_TCON_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_TCON_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_TCON_A/czyObiektBDOO/__text,OT_TCON_A/x_kod/__text,OT_TCON_A/x_skrKarto/_xsi:nil,OT_TCON_A/x_skrKarto/_nilReason,OT_TCON_A/x_katDoklGeom/__text,OT_TCON_A/x_zrodloDanychG/__text,OT_TCON_A/x_zrodloDanychA/__text,OT_TCON_A/x_katIstnienia/_xsi:nil,OT_TCON_A/x_katIstnienia/_nilReason,OT_TCON_A/x_rodzajReprGeom/__text,OT_TCON_A/x_uzytkownik/_xlink:href,OT_TCON_A/x_aktualnoscG/__text,OT_TCON_A/x_aktualnoscA/__text,OT_TCON_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_TCON_A/x_dataUtworzenia/__text,OT_TCON_A/x_kodKarto10k/_xsi:nil,OT_TCON_A/x_kodKarto10k/_nilReason,OT_TCON_A/x_kodKarto25k/_xsi:nil,OT_TCON_A/x_kodKarto25k/_nilReason,OT_TCON_A/x_kodKarto50k/_xsi:nil,OT_TCON_A/x_kodKarto50k/_nilReason,OT_TCON_A/x_kodKarto100k/_xsi:nil,OT_TCON_A/x_kodKarto100k/_nilReason,OT_TCON_A/x_kodKarto250k/_xsi:nil,OT_TCON_A/x_kodKarto250k/_nilReason,OT_TCON_A/x_kodKarto500k/_xsi:nil,OT_TCON_A/x_kodKarto500k/_nilReason,OT_TCON_A/x_kodKarto1000k/_xsi:nil,OT_TCON_A/x_kodKarto1000k/_nilReason,OT_TCON_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_TCON_A/geometria/Polygon/_gml:id,OT_TCON_A/geometria/Polygon/_srsName,OT_TCON_A/geometria/Polygon/_srsDimension,OT_TCON_A/idNatura/__text,OT_TCON_A/nazwa/__text,OT_TCON_A/_gml:id
2CE79A9D-222D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCON01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,474230.29 568600.03 474090.77 568610.22 474042.96 568716.03 474043.75 568716.03 474072.61 568715.83 474158.18 568715.25 474165.23 568697.22 474194.23 568698.79 474205.21 568707.8 474216.18 568716.81 474215.39 568730.92 474305.53 568795.97 474312.58 568739.54 474319.64 568683.11 474230.29 568600.03,g_7,EPSG:2180,2,PLH040001,Forty w Toruniu,PL.PZGIK.BDOT10k.TCONA.04.635
2CE79A9D-2229-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCON01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,473382.03 575271.53 473388.25 575375.15 473507.07 575433.87 473566.48 575420.74 473632.1 575401.4 473649.44 575347.16 473651.61 575340.37 473659.04 575317.12 473659.3 575300.27 473647.99 575297.09 473638.06 575298.79 473571.31 575310.21 473521.57 575316.43 473503.61 575314.36 473414.5 575279.13 473382.03 575271.53,g_41,EPSG:2180,2,PLH040001,Forty w Toruniu,PL.PZGIK.BDOT10k.TCONA.04.631
2CE79A9D-222A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCON01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475466.76 574996.07 475450.82 575007.81 475415.64 575046.28 475388.25 575076.23 475391.01 575091.13 475356.79 575112.65 475341.34 575100.51 475245.33 575124.4 475233.59 575130.27 475238.62 575141.17 475252.74 575160.45 475282.23 575200.73 475283.07 575218.34 475292.3 575222.53 475301.52 575220.86 475338.43 575213.31 475422.31 575195.69 475432.37 575188.15 475503.66 575112.66 475519.6 575092.53 475517.08 575083.3 475503.66 575081.62 475487.75 575038.43 475486.05 575033.81 475484.09 575028.45 475477.36 575010.05 475473.47 574999.42 475466.76 574996.07,g_75,EPSG:2180,2,PLH040001,Forty w Toruniu,PL.PZGIK.BDOT10k.TCONA.04.632
2CE79A9D-222B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCON01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,476312.15 570379.59 476282.57 570395.12 476272.12 570401.06 476213.77 570434.19 476198.02 570449.36 476234.76 570486.09 476254.77 570503.88 476281.99 570528.08 476318.77 570560.29 476329.18 570620.84 476342.24 570668.53 476345.84 570681.27 476349.99 570697.59 476382.38 570681.47 476402.7 570674.45 476413.67 570665.07 476435.81 570646.17 476454.6 570630.13 476455.01 570574.48 476441.76 570512.04 476411.49 570467.58 476362.29 570426.9 476312.15 570379.59,g_109,EPSG:2180,2,PLH040001,Forty w Toruniu,PL.PZGIK.BDOT10k.TCONA.04.633
2CE79A9D-222C-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCON01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,474386.64 568762.21 474369.22 568796.49 474397.5 568815.91 474397.65 568815.95 474399.99 568812.32 474418.63 568783.35 474386.64 568762.21,g_143,EPSG:2180,2,PLH040001,Forty w Toruniu,PL.PZGIK.BDOT10k.TCONA.04.634
2CE79A9D-222F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,TCON01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2016-12-07,2015-02-10,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,479889.22 570652.87 479899.25 570653.95 479907.85 570651.96 479924.39 570650.64 479956.8 570647.33 479998.47 570621.54 480013.68 570605.66 480036.17 570587.14 480068.59 570612.28 480083.14 570655.93 480097.69 570691.65 480110.26 570707.53 480120.18 570718.77 480134.73 570733.99 480144.65 570739.94 480161.85 570753.17 480183.02 570773.67 480205.51 570789.55 480234.61 570803.44 480277.61 570820.64 480317.96 570833.87 480323.25 570827.25 480337.14 570819.98 480350.37 570816.01 480370.21 570816.67 480413.87 570818.65 480454.88 570814.02 480482.66 570810.05 480496.55 570807.41 480510.44 570800.13 480522.35 570793.52 480532.27 570785.58 480544.17 570782.93 480546.16 570791.53 480545.5 570797.49 480549.47 570807.41 480579.89 570818.65 480605.03 570835.19 480628.18 570834.53 480660.59 570833.2 480671.38 570829.87 480750.55 570805.42 480765.1 570749.86 480787.59 570692.98 480811.4 570596.4 480820.66 570569.94 480844.48 570524.96 480878.87 570473.37 480907.98 570431.04 480921.21 570371.51 480933.11 570290.81 480939.73 570248.48 480942.37 570207.46 480942.37 570159.84 480951.63 570121.48 480962.22 570092.37 480968.83 570087.08 480976.77 570087.08 480990 570089.73 480997.93 570100.31 481005.87 570096.34 481013.81 570088.4 481017.78 570084.43 481021.75 570072.53 481036.3 570055.33 481042.91 570054.01 481056.14 570059.3 481078.63 570080.46 481115.67 570120.15 481143.46 570157.19 481152.72 570171.75 481191.08 570192.91 481238.71 570208.79 481262.52 570211.43 481278.39 570223.34 481291.62 570239.21 481333.96 570251.12 481405.39 570259.06 481430.53 570280.23 481429.21 570329.17 481450.37 570319.91 481486.09 570305.36 481504.61 570298.75 481527.1 570294.78 481541.65 570296.1 481549.59 570301.39 481560.17 570325.2 481573.4 570343.73 481585.31 570345.05 481599.86 570343.73 481603.83 570367.54 481576.05 570400.61 481549.59 570424.42 481535.04 570474.69 481535.04 570526.29 481540.33 570587.14 481554.88 570606.99 481572.08 570628.15 481597.22 570637.41 481621.03 570640.06 481654.1 570638.74 481680.56 570673.13 481710.99 570677.1 481726.86 570662.55 481748.03 570663.87 481770.52 570699.59 481775.27 570711.62 481787.8 570681.42 481791.42 570672.91 481792.56 570670.27 481798.48 570656.36 481767.73 570587.51 481731.36 570520.54 481714.92 570504.5 481698.89 570503.45 481677.25 570516.05 481653.07 570545.22 481637.96 570577.13 481623.49 570596.02 481592.96 570612.38 481583.71 570603.63 481574.34 570590.4 481562.29 570552.24 481564.06 570508.2 481568.78 570462.08 481584.42 570431.65 481612.38 570412.38 481661.01 570399.53 481713.33 570375.57 481775.58 570331.35 481816.57 570295.22 481833.46 570255.75 481849.44 570183.33 481865.83 570143.37 481889.34 570126.22 481932.07 570081.04 481945.95 570058.66 481949.87 570038.06 481941.28 570016.8 481923.13 569993.32 481902.21 569977.9 481835.57 569954.76 481827.87 569952.03 481799.4 569941.97 481780.56 569935.3 481689.68 569921.33 481658.84 569926.69 481608.89 569964.08 481575.98 570002.98 481566.91 570036.23 481566.49 570093.23 481581.43 570162.8 481582.74 570191.75 481565.31 570230.23 481535.68 570243.05 481505.41 570250.9 481472.63 570240.81 481401.42 570196.8 481356.04 570183.07 481287.56 570182.98 481241.82 570174.26 481197.2 570151.5 481170.49 570125.75 481155.69 570097.17 481150.02 570036.84 481140.36 569941.13 481130.64 569915.41 481105.05 569894.13 481094.44 569891.65 481088.41 569890.24 481085.93 569889.66 481060.04 569893.39 481041.13 569906.42 481026.59 569916.45 480966.36 569957.98 480910.59 570019.52 480858.43 570084.96 480850.24 570114.18 480849.3 570152.2 480856.57 570197.99 480889.49 570303.04 480889.05 570323.06 480886.64 570344.12 480878.23 570365.34 480864.74 570383.71 480837.52 570411.47 480772.06 570466.28 480739.27 570509.18 480718.37 570548.76 480703.89 570603.15 480704.15 570648.14 480716.58 570735.77 480710.32 570761.94 480686.73 570776.59 480668.74 570777.09 480624.52 570768.32 480567.87 570744.9 480522.25 570722.18 480478.13 570717.41 480428.23 570720.81 480372.52 570730.36 480320.84 570741.79 480257.98 570746.55 480230.63 570735.02 480224.61 570732.48 480195.85 570705.29 480179.31 570685.75 480167.8 570667.08 480160.02 570639.3 480160.48 570619.79 480164.79 570595.17 480181.8 570559.71 480205.1 570535.06 480257.3 570506.62 480331.11 570464.57 480356.67 570448.86 480381.2 570432.18 480396.57 570409.76 480404.84 570383.53 480401.04 570354.65 480372.9 570313.44 480330.08 570283.63 480281.73 570270.99 480260.58 570265.57 480226.45 570260.53 480174.68 570267.97 480141.29 570289.89 480128.88 570311.24 480117.45 570331.55 480106.34 570362.85 480078.99 570430 480078.56 570431.03 480039.33 570505.69 480011.53 570548.45 479966.59 570586.7 479938.88 570596.47 479927.78 570598.73 479914.12 570601.45 479893.02 570602.19 479872.17 570602.93 479836.57 570592.02 479795.28 570577.67 479766.79 570563.37 479735.55 570547.34 479710.86 570530.58 479681.02 570510.07 479640.13 570484.82 479592.08 570471.65 479473.65 570426.67 479408.47 570408.99 479341.36 570400.96 479310.22 570406.12 479297.9 570390.8 479283.61 570393.7 479251.16 570383.42 479248.97 570389.34 479247 570395.64 479242.87 570398.4 479238.34 570403.51 479233.61 570408.44 479231.05 570410.01 479224.36 570414.54 479218.84 570419.27 479214.12 570424.39 479207.03 570430.29 479204.27 570435.02 479199.75 570439.94 479193.64 570447.42 479193.05 570450.58 479191.67 570454.32 479186.95 570461.4 479179.27 570471.45 479173.95 570479.32 479169.23 570485.62 479169.42 570489.96 479175.53 570538.39 479171.19 570544.5 479170.21 570550.21 479170.41 570557.69 479172.18 570559.86 479176.12 570561.04 479178.68 570563.6 479182.22 570567.14 479184.58 570569.7 479187.14 570570.69 479193.44 570565.57 479198.96 570556.9 479204.47 570551 479208.21 570548.24 479214.12 570543.71 479215.5 570537.61 479220.22 570536.03 479222.78 570535.44 479224.56 570529.34 479223.37 570524.81 479226.72 570521.85 479231.64 570521.85 479233.61 570517.72 479232.43 570511.22 479234.2 570506.3 479237.75 570507.09 479243.46 570510.43 479248.18 570511.81 479253.3 570512.21 479256.45 570508.07 479259.21 570501.57 479256.65 570496.45 479254.29 570491.73 479255.67 570488.18 479259.21 570482.67 479262.36 570478.93 479265.51 570476.17 479277.13 570466.72 479293.27 570453.73 479298.79 570453.53 479301.94 570453.13 479305.09 570448.61 479307.45 570444.86 479311.39 570443.09 479317.89 570437.38 479324.39 570428.13 479327.73 570428.13 479331.87 570424.39 479339.15 570425.37 479347.62 570424.39 479354.31 570425.17 479358.84 570424.78 479364.16 570424.58 479366.13 570425.37 479367.7 570426.36 479372.04 570424.98 479374.6 570422.42 479380.11 570418.68 479383.06 570418.87 479386.61 570421.43 479388.58 570423.8 479389.76 570426.95 479396.45 570428.72 479403.93 570430.88 479407.48 570433.64 479410.63 570435.41 479415.55 570435.81 479418.9 570436 479422.44 570436 479427.56 570437.58 479430.91 570438.17 479434.65 570437.97 479436.62 570438.56 479439.77 570440.93 479442.92 570441.12 479447.84 570440.34 479450.8 570440.73 479451.39 570442.9 479452.77 570446.05 479454.93 570448.21 479459.66 570449.79 479462.61 570449 479472.46 570449.98 479476.59 570451.36 479479.74 570454.32 479482.3 570457.27 479484.07 570460.03 479487.62 570457.07 479491.95 570456.68 479495.89 570457.27 479504.95 570460.03 479510.26 570463.57 479513.81 570464.36 479517.94 570465.74 479522.47 570467.51 479526.61 570469.28 479530.94 570470.07 479534.88 570471.84 479543.15 570473.42 479554.17 570480.11 479561.65 570484.05 479567.56 570486.81 479576.23 570494.68 479588.43 570500.59 479599.46 570503.35 479609.7 570504.92 479616.79 570509.65 479625.45 570513.98 479635.69 570514.77 479641.99 570518.7 479654.59 570524.22 479664.04 570531.31 479671.53 570540.36 479678.61 570541.94 479682.95 570547.85 479685.7 570554.15 479689.25 570556.12 479695.94 570556.12 479702.24 570559.66 479704.61 570564.78 479707.36 570576.99 479745.56 570594.31 479766.04 570597.07 479777.85 570597.07 479779.82 570602.98 479781.4 570608.89 479784.16 570610.85 479793.21 570619.12 479818.02 570627.79 479835.74 570627.79 479851.5 570630.15 479865.67 570632.91 479871.19 570635.66 479873.94 570640.78 479879.46 570648.27 479889.22 570652.87,g_177,EPSG:2180,2,PLH280001,Dolina Drwecy,PL.PZGIK.BDOT10k.TCONA.04.637
