OT_TCRZ_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_TCRZ_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_TCRZ_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_TCRZ_A/czyObiektBDOO/__text,OT_TCRZ_A/x_kod/__text,OT_TCRZ_A/x_skrKarto/_xsi:nil,OT_TCRZ_A/x_skrKarto/_nilReason,OT_TCRZ_A/x_katDoklGeom/__text,OT_TCRZ_A/x_zrodloDanychG/__text,OT_TCRZ_A/x_zrodloDanychA/__text,OT_TCRZ_A/x_katIstnienia/_xsi:nil,OT_TCRZ_A/x_katIstnienia/_nilReason,OT_TCRZ_A/x_rodzajReprGeom/__text,OT_TCRZ_A/x_uzytkownik/_xlink:href,OT_TCRZ_A/x_aktualnoscG/__text,OT_TCRZ_A/x_aktualnoscA/__text,OT_TCRZ_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_TCRZ_A/x_dataUtworzenia/__text,OT_TCRZ_A/x_kodKarto10k/__text,OT_TCRZ_A/x_kodKarto25k/__text,OT_TCRZ_A/x_kodKarto50k/__text,OT_TCRZ_A/x_kodKarto100k/__text,OT_TCRZ_A/x_kodKarto250k/_xsi:nil,OT_TCRZ_A/x_kodKarto250k/_nilReason,OT_TCRZ_A/x_kodKarto500k/_xsi:nil,OT_TCRZ_A/x_kodKarto500k/_nilReason,OT_TCRZ_A/x_kodKarto1000k/_xsi:nil,OT_TCRZ_A/x_kodKarto1000k/_nilReason,OT_TCRZ_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_TCRZ_A/geometria/Polygon/_gml:id,OT_TCRZ_A/geometria/Polygon/_srsName,OT_TCRZ_A/geometria/Polygon/_srsDimension,OT_TCRZ_A/rodzaj/__text,OT_TCRZ_A/nazwa/__text,OT_TCRZ_A/_gml:id
2CE79A9D-2230-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCRZ01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_508_1,0025_508_1,0050_508_1,0100_508_1,true,inapplicable,true,inapplicable,true,inapplicable,474733.44 570973.52 474730.83 570973.11 474718.46 570967.67 474698.94 570962.65 474677.79 570953.54 474646.67 570939.1 474605.5 570926.66 474579.47 570923.39 474560.05 570925.27 474531.43 570928.98 474522.35 570930.17 474497.6 570933.81 474481.58 570934.52 474451.72 570936.78 474424.49 570941.63 474345.75 570944.2 474326.82 570944.81 474288.5 570946.07 474248.07 570935.16 474241.99 570935.43 474215.5 570934.59 474189 570935.64 474140.54 570934.88 474129.01 570934.7 474092.07 570933.89 474052.09 570932.41 474012.08 570932.22 473984.58 570931.33 473973.4 570930.97 473970.11 570938.39 473964.68 570951.29 473960.9 570959.81 473958.59 570969.96 473946.93 570996.16 473946.22 570998.14 473940.99 571019.55 473930.23 571040.31 473921.41 571053.02 473921.9 571060.73 473952.08 571060.92 473991.54 571074.01 474007.19 571079.6 474085.6 571107.36 474139.82 571126.21 474166.97 571140.69 474187.58 571148.22 474203.15 571102.32 474220.54 571113.73 474235.14 571107.89 474273.45 571148.22 474308.08 571157.12 474325.88 571197.23 474326.26 571197.14 474341.07 571193.66 474380.96 571193.17 474445.2 571199.22 474482.08 571202.41 474492.89 571206.9 474499.69 571214.04 474531.83 571218.02 474543.32 571218.59 474566.92 571224.4 474584.3 571230.91 474597.07 571235.4 474620.17 571246.75 474627.01 571249 474643.89 571260.73 474660.83 571269.33 474668.04 571274.95 474673.62 571279.8 474680.53 571283.44 474703.55 571296.16 474708.11 571302.52 474749.28 571179.98 474756.63 571104.71 474749 571029.82 474735.57 570981.23 474733.44 570973.52,g_7,EPSG:2180,2,Fl,Kępa Bazarowa,PL.PZGIK.BDOT10k.TCRZA.04.631
2CE79A9D-2231-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,TCRZ01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_508_1,0025_508_1,0050_508_1,0100_508_1,true,inapplicable,true,inapplicable,true,inapplicable,475330.62 571387.48 475336.92 571370.14 475325.53 571366.34 475274.18 571340.14 475243.92 571319.06 475201.1 571289.22 475189.09 571279.53 475185.44 571276.58 475159.35 571246.16 475153.58 571237.56 475135.86 571215.36 475126.53 571204.25 475119.96 571196.3 475102.55 571175.25 475083.51 571130.24 475074.36 571116.64 475066.61 571107.42 475046.53 571083.48 475029.58 571067.3 475023.43 571063.55 474995.24 571050.24 474983.34 571045.93 474947.87 571033.8 474918.6 571023.46 474911.69 571022.76 474886.66 571013.54 474862.95 571002.31 474845.22 570991.98 474838.03 570993.25 474825.62 570992.23 474810.04 570989.25 474821.68 570994.51 474833.29 571059.25 474837.35 571101.86 474829.24 571169.08 474816.34 571218.74 474801.94 571263.45 474786.18 571307.56 474774.21 571375.37 474787.12 571386.88 474879.79 571416.99 474973.59 571439.32 475088.61 571441.07 475191.98 571448.27 475295.09 571469.66 475321.78 571459.39 475322.78 571418.92 475322.73 571414.05 475322.67 571409.39 475326.84 571397.93 475330.62 571387.48,g_41,EPSG:2180,2,Fl,Kępa Bazarowa,PL.PZGIK.BDOT10k.TCRZA.04.632
2CE79A9D-2232-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,TCRZ01,true,inapplicable,Dok,LMN,LMN,true,inapplicable,KR,Uzytkownik04.xml,2016-12-07,2015-02-10,2016-12-07T00:00:00,2012-11-26,0010_508_1,0025_508_1,0050_508_1,0100_508_1,true,inapplicable,true,inapplicable,true,inapplicable,479294.64 570386.77 479278.72 570392.53 479278.51 570392.61 479278.21 570392.75 479277.92 570392.9 479277.64 570393.07 479277.44 570393.21 479253.1 570411.24 479253.03 570411.29 479252.78 570411.5 479252.6 570411.67 479237.6 570426.23 479219.05 570438.6 479219.04 570438.6 479218.78 570438.79 479218.52 570439 479218.29 570439.22 479218.06 570439.46 479217.85 570439.71 479217.66 570439.98 479217.49 570440.26 479217.48 570440.28 479201.25 570468.67 479201.11 570468.94 479200.97 570469.24 479200.86 570469.55 479200.76 570469.86 479200.69 570470.18 479200.64 570470.5 479200.61 570470.81 479199.25 570490.65 479199.25 570490.66 479199.24 570490.99 479199.25 570491.31 479199.28 570491.64 479199.34 570491.96 479199.41 570492.28 479199.51 570492.6 479199.62 570492.9 479199.76 570493.2 479199.91 570493.49 479200.08 570493.77 479200.27 570494.03 479200.48 570494.28 479200.71 570494.52 479200.94 570494.75 479201.2 570494.95 479201.46 570495.15 479201.74 570495.32 479202.03 570495.47 479202.33 570495.61 479202.63 570495.72 479202.95 570495.82 479203.27 570495.89 479203.59 570495.95 479203.91 570495.98 479204.24 570495.99 479204.57 570495.98 479204.89 570495.95 479205.22 570495.89 479205.54 570495.82 479205.85 570495.72 479205.87 570495.71 479218.94 570491.21 479219.23 570491.1 479219.52 570490.96 479219.81 570490.81 479220.09 570490.64 479220.36 570490.45 479220.54 570490.3 479249.53 570465.77 479303.1 570433.89 479351.7 570421.2 479384.48 570422.92 479412.67 570432.61 479412.69 570432.62 479413 570432.71 479413.19 570432.76 479450.83 570441.27 479500.59 570457.41 479573.81 570483.02 479603.75 570496.42 479643.53 570515.64 479674.72 570535.69 479717.63 570566.54 479742.65 570589.76 479742.75 570589.86 479743 570590.06 479743.27 570590.25 479743.55 570590.43 479743.84 570590.58 479744.1 570590.7 479772.42 570602.65 479800.35 570623.04 479800.52 570623.16 479800.79 570623.33 479801.08 570623.49 479801.38 570623.62 479801.69 570623.74 479802 570623.83 479802.32 570623.91 479802.64 570623.96 479802.97 570623.99 479803.29 570624 479814.11 570624 479814.44 570623.99 479814.77 570623.96 479815.01 570623.92 479829.88 570621.22 479829.96 570621.2 479830.28 570621.13 479830.59 570621.03 479830.9 570620.92 479831.2 570620.78 479831.49 570620.63 479831.76 570620.46 479837.26 570616.79 479859.73 570616.79 479865.72 570618.79 479866.01 570618.87 479866.33 570618.95 479866.65 570619 479866.97 570619.03 479867.3 570619.04 479881.27 570619.04 479881.6 570619.03 479881.68 570619.03 479914.39 570616.34 479970.52 570616.34 479970.85 570616.33 479971.18 570616.3 479971.5 570616.24 479971.82 570616.17 479971.93 570616.14 479990.41 570610.73 479990.61 570610.67 479990.92 570610.55 479991.22 570610.41 479991.51 570610.26 479991.75 570610.11 480032.31 570583.52 480032.35 570583.49 480032.62 570583.3 480032.71 570583.23 480051.19 570568.36 480051.35 570568.22 480051.59 570568 480051.81 570567.76 480051.92 570567.63 480115.48 570490.1 480115.58 570489.97 480115.77 570489.71 480115.94 570489.43 480116.09 570489.14 480116.23 570488.84 480116.35 570488.54 480116.44 570488.23 480116.51 570487.91 480116.57 570487.58 480116.6 570487.26 480116.6 570487.2 480117.96 570461.96 480117.95 570461.36 480117.92 570461.04 480117.87 570460.71 480117.79 570460.39 480117.7 570460.08 480117.58 570459.78 480117.45 570459.48 480117.4 570459.39 480110.64 570446.32 480110.53 570446.12 480110.36 570445.84 480110.17 570445.57 480109.96 570445.32 480109.74 570445.08 480109.52 570444.88 480103.36 570439.4 480104.82 570427 480111.41 570401.51 480126.61 570363.95 480126.71 570363.68 480126.74 570363.59 480136.96 570331.59 480144.94 570316.91 480168.76 570293.95 480187.57 570282.66 480217.49 570280.1 480237.58 570282.24 480249.88 570286.75 480257.98 570292.56 480258.12 570292.66 480258.4 570292.83 480258.69 570292.99 480258.98 570293.12 480259.29 570293.24 480259.43 570293.28 480332.45 570315.75 480354.95 570332.22 480379.17 570354.15 480384.87 570369.23 480386.97 570382.23 480386.57 570394.62 480381.77 570404.21 480374.01 570406.17 480373.94 570406.19 480373.63 570406.29 480373.32 570406.4 480373.02 570406.54 480372.73 570406.69 480372.46 570406.86 480372.39 570406.91 480334.78 570432.95 480317.84 570440.44 480317.65 570440.53 480317.44 570440.63 480291.47 570454.96 480210.07 570491.84 480209.92 570491.91 480209.63 570492.07 480209.41 570492.2 480194.09 570502.12 480194.03 570502.16 480193.76 570502.35 480193.51 570502.55 480193.27 570502.78 480193.08 570502.98 480161.98 570537.68 480161.94 570537.72 480161.73 570537.98 480161.54 570538.24 480161.52 570538.28 480152.95 570551.35 480152.81 570551.59 480152.65 570551.88 480152.52 570552.18 480152.4 570552.49 480152.36 570552.62 480146.5 570571.55 480146.47 570571.65 480134.75 570612.67 480134.73 570612.75 480134.65 570613.07 480134.6 570613.39 480134.57 570613.72 480134.56 570613.82 480133.66 570634.11 480133.66 570634.16 480133.66 570634.33 480133.67 570634.65 480133.7 570634.98 480133.73 570635.2 480136.44 570650.52 480136.46 570650.63 480136.53 570650.95 480136.63 570651.26 480136.69 570651.45 480151.12 570688.86 480151.17 570688.98 480151.3 570689.28 480151.45 570689.57 480151.63 570689.84 480151.76 570690.03 480170.69 570715.73 480170.75 570715.8 480170.96 570716.06 480171.11 570716.22 480193.2 570739.21 480193.27 570739.28 480193.51 570739.51 480193.76 570739.71 480194 570739.89 480206.62 570748.45 480206.65 570748.47 480206.92 570748.64 480207.21 570748.8 480207.23 570748.8 480246.9 570768.19 480247.18 570768.31 480247.48 570768.43 480247.67 570768.49 480259.84 570772.09 480259.97 570772.13 480260.29 570772.2 480260.61 570772.26 480260.93 570772.29 480261.26 570772.3 480261.46 570772.3 480272.73 570771.85 480272.86 570771.84 480273.18 570771.81 480273.51 570771.75 480273.82 570771.68 480273.92 570771.65 480311.21 570760.87 480373.57 570746.07 480410.09 570740.28 480426.51 570739.39 480426.56 570739.38 480426.89 570739.35 480427.21 570739.3 480427.53 570739.22 480427.65 570739.19 480447.02 570733.47 480465.06 570731.75 480500.25 570734.36 480509.43 570738.57 480531.33 570760.47 480531.57 570760.69 480531.83 570760.9 480532.09 570761.09 480532.37 570761.26 480532.66 570761.42 480532.96 570761.55 480533.06 570761.6 480560.45 570772.2 480574.83 570782.22 480574.91 570782.28 480575.19 570782.45 480575.48 570782.6 480575.78 570782.74 480576.08 570782.85 480576.36 570782.94 480596.93 570788.63 480611.26 570796.88 480611.54 570797.03 480611.84 570797.16 480612.14 570797.28 480612.46 570797.37 480612.54 570797.39 480652.2 570807.31 480652.44 570807.36 480652.77 570807.42 480653.09 570807.45 480653.42 570807.46 480674.15 570807.46 480674.48 570807.45 480674.8 570807.42 480675.11 570807.37 480675.13 570807.36 480693.59 570803.76 480693.61 570803.76 480693.93 570803.68 480694.24 570803.59 480694.55 570803.47 480694.84 570803.34 480694.87 570803.33 480711.1 570795.21 480711.36 570795.07 480711.64 570794.9 480711.68 570794.87 480740.08 570775.49 480740.3 570775.32 480740.55 570775.12 480740.79 570774.89 480741.02 570774.65 480741.16 570774.48 480748.37 570765.47 480748.44 570765.39 480748.63 570765.12 480748.8 570764.84 480748.95 570764.55 480749.09 570764.26 480749.2 570763.95 480749.3 570763.64 480749.37 570763.32 480749.41 570763.14 480753.91 570735.19 480753.93 570735.05 480753.97 570734.72 480753.98 570734.4 480753.97 570734.07 480753.93 570733.74 480753.88 570733.42 480753.88 570733.41 480751.63 570722.15 480751.55 570721.83 480751.46 570721.52 480751.34 570721.21 480751.21 570720.92 480751.05 570720.63 480750.88 570720.35 480744.57 570710.89 480744.57 570710.88 480744.38 570710.62 480744.17 570710.36 480743.95 570710.13 480734.52 570700.69 480731.34 570695.04 480724.71 570612.45 480733.94 570556.28 480751.93 570523.37 480776.83 570484.69 480795.74 570464.46 480814.86 570447.56 480832.45 570433.41 480847.68 570429.17 480847.95 570429.09 480848.25 570428.98 480848.55 570428.84 480848.78 570428.72 480860.05 570422.41 480860.11 570422.38 480860.39 570422.2 480860.65 570422.01 480860.91 570421.81 480861.15 570421.58 480861.37 570421.34 480861.47 570421.23 480876.34 570403.2 480876.45 570403.06 480876.64 570402.79 480876.81 570402.52 480876.93 570402.29 480896.32 570364.43 480896.35 570364.36 480896.49 570364.07 480896.6 570363.76 480896.64 570363.65 480908.36 570326.24 480908.42 570326.03 480908.49 570325.72 480908.54 570325.41 480912.15 570298.82 480912.15 570298.8 480912.18 570298.47 480912.19 570298.15 480912.18 570297.82 480912.15 570297.49 480912.1 570297.17 480912.02 570296.85 480911.96 570296.65 480905.2 570275.02 480905.17 570274.9 480905.05 570274.6 480905 570274.48 480892.48 570246.31 480875.06 570193.59 480865.31 570149.75 480865.31 570124.22 480869.59 570103.68 480879.53 570082.95 480891.33 570065.91 480945.97 570001.86 480970.73 569978.86 481007.88 569953.22 481018.19 569948.85 481021.48 569948.85 481033.1 569954.25 481033.29 569954.33 481033.6 569954.45 481033.91 569954.54 481034.23 569954.62 481034.55 569954.67 481034.88 569954.7 481035 569954.71 481045.82 569955.16 481046.35 569955.15 481046.68 569955.12 481047 569955.07 481047.27 569955 481061.25 569951.4 481061.29 569951.39 481061.61 569951.29 481061.91 569951.18 481062.18 569951.06 481091.03 569937.08 481091.06 569937.07 481091.35 569936.91 481091.62 569936.74 481091.89 569936.55 481091.94 569936.52 481098.25 569931.56 481098.45 569931.38 481098.69 569931.16 481098.92 569930.92 481099.12 569930.67 481099.14 569930.65 481107.91 569919.09 481108.49 569918.97 481112.48 569921.71 481115.52 569932.35 481123.59 569978.52 481123.61 569978.63 481123.63 569978.76 481132.53 570018.33 481132.53 570034.67 481129.4 570067.33 481129.38 570067.48 481129.37 570067.81 481129.38 570068.14 481129.42 570068.46 481129.47 570068.79 481129.54 570069.1 481129.57 570069.18 481137.58 570097.25 481140.24 570115.85 481140.29 570116.12 481140.36 570116.43 481140.46 570116.75 481140.57 570117.05 481140.71 570117.35 481140.84 570117.6 481150.75 570135.18 481150.78 570135.22 481150.95 570135.5 481151.14 570135.76 481151.35 570136.02 481151.57 570136.25 481151.81 570136.48 481151.83 570136.49 481182.93 570163.54 481183.17 570163.73 481183.26 570163.8 481204.9 570179.58 481205.07 570179.7 481205.35 570179.87 481205.63 570180.03 481205.93 570180.16 481205.99 570180.18 481242.05 570194.61 481242.3 570194.7 481242.61 570194.79 481242.93 570194.87 481256.45 570197.57 481256.78 570197.63 481257.1 570197.66 481257.38 570197.67 481349.81 570198.57 481371.61 570202.49 481384.84 570206.76 481420.54 570225.71 481466.15 570262.38 481466.24 570262.45 481466.51 570262.64 481466.78 570262.81 481475.34 570267.76 481475.35 570267.77 481475.64 570267.92 481475.93 570268.06 481476.24 570268.17 481476.55 570268.27 481476.64 570268.29 481489.26 570271.44 481489.49 570271.5 481489.82 570271.55 481490.14 570271.58 481490.47 570271.59 481490.54 570271.59 481523.89 570271.14 481524.15 570271.13 481524.48 570271.1 481524.8 570271.05 481525.01 570271 481544.94 570266.13 481559 570264.81 481559.19 570264.79 481559.51 570264.74 481559.83 570264.66 481560.14 570264.57 481560.45 570264.45 481560.74 570264.32 481561.03 570264.16 481561.31 570263.99 481561.58 570263.8 481561.64 570263.75 481574.71 570253.38 481574.9 570253.22 481575.14 570253 481575.36 570252.76 481575.57 570252.51 481575.76 570252.24 481575.94 570251.96 481575.97 570251.9 481589.04 570228.46 481589.16 570228.24 481589.2 570228.17 481597.31 570211.04 481597.41 570210.81 481597.52 570210.5 481597.61 570210.21 481601.67 570195.34 481601.68 570195.32 481601.75 570195 481601.8 570194.67 481601.84 570194.35 481601.85 570194.02 481601.84 570193.69 481601.82 570193.52 481599.57 570170.99 481599.55 570170.83 481599.5 570170.51 481599.42 570170.19 481599.42 570170.18 481595.01 570153.87 481593.71 570142.14 481587.87 570077.95 481587.87 570052.48 481587.86 570052.16 481587.83 570051.85 481585.72 570035.36 481592.39 570014.08 481603.95 569996.54 481634.71 569963.58 481644.89 569957.64 481645.15 569957.48 481645.42 569957.29 481645.67 569957.08 481645.79 569956.97 481652.6 569950.58 481661.68 569945.22 481673.53 569940.73 481701.98 569940.29 481748.67 569947.41 481829.33 569967.57 481875.29 569984.08 481894.37 569993.19 481917.04 570011.5 481924.61 570019.86 481928.09 570031.09 481927.7 570046.13 481918.43 570057.42 481918.33 570057.55 481918.13 570057.82 481917.96 570058.1 481917.94 570058.14 481912.34 570068.04 481883.83 570100.06 481863.19 570113.67 481863.17 570113.69 481862.9 570113.88 481862.65 570114.08 481862.41 570114.31 481862.19 570114.55 481862.08 570114.68 481858.02 570119.64 481857.92 570119.76 481857.73 570120.02 481857.56 570120.3 481857.41 570120.59 481857.27 570120.89 481857.24 570120.96 481839.21 570166.49 481839.13 570166.72 481839.03 570167.03 481838.97 570167.27 481832.41 570197.49 481828.84 570203.04 481828.71 570203.24 481828.56 570203.53 481828.42 570203.83 481828.31 570204.13 481828.28 570204.21 481820.62 570228.1 481820.55 570228.34 481820.48 570228.66 481820.42 570228.98 481820.39 570229.3 481820.38 570229.46 481819.96 570241.67 481810.08 570266.59 481802.43 570278.9 481794.82 570287.36 481757.5 570319.8 481693.83 570359.26 481693.69 570359.35 481693.49 570359.48 481673.27 570374.43 481665.55 570377.52 481655.48 570378.36 481655.24 570378.38 481654.92 570378.43 481654.6 570378.51 481654.29 570378.6 481653.98 570378.72 481653.68 570378.85 481653.47 570378.97 481646.49 570382.85 481625.24 570382.85 481624.92 570382.86 481624.59 570382.89 481624.27 570382.94 481623.95 570383.02 481623.64 570383.11 481623.49 570383.16 481616.28 570385.87 481616.12 570385.93 481615.82 570386.07 481615.53 570386.22 481615.25 570386.39 481615.14 570386.47 481590.35 570404.05 481590.2 570404.16 481589.94 570404.37 481589.71 570404.59 481589.62 570404.68 481571.14 570424.06 481571 570424.22 481570.79 570424.47 481570.6 570424.73 481570.43 570425.01 481570.42 570425.03 481557.8 570447.12 481557.65 570447.39 481557.52 570447.69 481557.4 570447.99 481557.31 570448.31 481557.24 570448.62 481557.22 570448.7 481550.46 570485.66 481550.42 570485.91 481550.39 570486.23 481550.38 570486.37 481549.48 570509.81 481549.48 570509.87 481549.48 570510 481549.49 570510.33 481549.52 570510.65 481549.55 570510.85 481564.42 570597.39 481564.45 570597.52 481564.52 570597.84 481564.62 570598.15 481564.73 570598.46 481564.87 570598.76 481564.88 570598.78 481573.89 570616.81 481574.04 570617.08 481574.21 570617.35 481574.4 570617.62 481574.61 570617.87 481574.83 570618.11 481575.07 570618.33 481575.32 570618.54 481575.59 570618.73 481575.87 570618.91 481576.15 570619.06 481576.45 570619.2 481576.53 570619.23 481591.41 570625.09 481591.63 570625.17 481591.95 570625.27 481592.27 570625.34 481592.59 570625.39 481592.91 570625.42 481593.24 570625.44 481603.87 570625.44 481613.62 570627.98 481613.9 570628.04 481614.22 570628.1 481614.55 570628.13 481614.88 570628.14 481621.19 570628.14 481621.51 570628.13 481621.84 570628.1 481622.16 570628.04 481622.48 570627.97 481622.8 570627.87 481623.1 570627.76 481623.4 570627.62 481623.69 570627.47 481623.97 570627.3 481624.23 570627.11 481624.38 570626.99 481653.23 570603.1 481653.33 570603.01 481653.57 570602.79 481653.8 570602.55 481654 570602.29 481654.19 570602.03 481654.37 570601.75 481654.52 570601.46 481654.66 570601.16 481654.77 570600.86 481654.87 570600.54 481654.93 570600.28 481658.43 570583.64 481665.3 570567.75 481688.16 570530.4 481696.41 570523.22 481709.33 570523.94 481718.07 570529.4 481726.77 570543.49 481740.62 570572.98 481740.66 570573.06 481740.82 570573.35 481740.95 570573.57 481756.24 570597.17 481760.55 570616.13 481760.6 570616.32 481760.69 570616.63 481760.81 570616.94 481760.86 570617.06 481773.94 570646.36 481774.02 570646.54 481774.17 570646.83 481774.34 570647.1 481774.53 570647.37 481774.58 570647.43 481792.56 570670.27 481798.48 570656.36 481767.73 570587.51 481731.36 570520.54 481714.92 570504.5 481698.89 570503.45 481677.25 570516.05 481653.07 570545.22 481637.96 570577.13 481623.49 570596.02 481592.96 570612.38 481583.71 570603.63 481574.34 570590.4 481562.29 570552.24 481564.06 570508.2 481568.78 570462.08 481584.42 570431.65 481612.38 570412.38 481661.01 570399.53 481713.33 570375.57 481775.58 570331.35 481816.57 570295.22 481833.46 570255.75 481849.44 570183.33 481865.83 570143.37 481889.34 570126.22 481932.07 570081.04 481945.95 570058.66 481949.87 570038.06 481941.28 570016.8 481923.13 569993.32 481902.21 569977.9 481835.57 569954.76 481827.87 569952.03 481799.4 569941.97 481780.56 569935.3 481689.68 569921.33 481658.84 569926.69 481608.89 569964.08 481575.98 570002.98 481566.91 570036.23 481566.49 570093.23 481581.43 570162.8 481582.74 570191.75 481565.31 570230.23 481535.68 570243.05 481505.41 570250.9 481472.63 570240.81 481401.42 570196.8 481356.04 570183.07 481287.56 570182.98 481241.82 570174.26 481197.2 570151.5 481170.49 570125.75 481155.69 570097.17 481150.02 570036.84 481140.36 569941.13 481130.64 569915.41 481105.05 569894.13 481094.44 569891.65 481088.41 569890.24 481074.81 569905.98 481041.13 569906.42 481026.59 569916.45 480966.36 569957.98 480910.59 570019.52 480858.43 570084.96 480850.24 570114.18 480849.3 570152.2 480856.57 570197.99 480889.49 570303.04 480889.05 570323.06 480886.64 570344.12 480878.23 570365.34 480864.74 570383.71 480837.52 570411.47 480772.06 570466.28 480739.27 570509.18 480718.37 570548.76 480703.89 570603.15 480704.15 570648.14 480716.58 570735.77 480710.32 570761.94 480686.73 570776.59 480668.74 570777.09 480624.52 570768.32 480567.87 570744.9 480522.25 570722.18 480478.13 570717.41 480428.23 570720.81 480372.52 570730.36 480320.84 570741.79 480257.98 570746.55 480230.63 570735.02 480224.61 570732.48 480195.85 570705.29 480179.31 570685.75 480167.8 570667.08 480160.02 570639.3 480160.48 570619.79 480164.79 570595.17 480181.8 570559.71 480205.1 570535.06 480257.3 570506.62 480331.11 570464.57 480356.67 570448.86 480381.2 570432.18 480396.57 570409.76 480404.84 570383.53 480401.04 570354.65 480372.9 570313.44 480330.08 570283.63 480281.73 570270.99 480260.58 570265.57 480226.45 570260.53 480174.68 570267.97 480141.29 570289.89 480128.88 570311.24 480117.45 570331.55 480106.34 570362.85 480078.99 570430 480078.56 570431.03 480039.33 570505.69 480011.53 570548.45 479966.59 570586.7 479938.88 570596.47 479927.78 570598.73 479914.12 570601.45 479893.02 570602.19 479872.17 570602.93 479836.57 570592.02 479795.28 570577.67 479766.79 570563.37 479735.55 570547.34 479710.86 570530.58 479681.02 570510.07 479640.13 570484.82 479592.08 570471.65 479473.65 570426.67 479408.47 570408.99 479341.36 570400.96 479310.22 570406.12 479294.68 570386.8 479294.64 570386.77,g_75,EPSG:2180,2,Wd,Rzeka Drwęca,PL.PZGIK.BDOT10k.TCRZA.04.633
